sentence1,sentence2,label,idx
"By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.",The drain has to be cleaned.,1,55
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",The sheep ended up looking more like golfers.,0,8
Jane gave Joan candy because she was hungry.,Madonna slept with her boyfriend.,1,60
"Ann asked Mary what time the library closes, because she had forgotten.",The drain has to be removed.,0,34
Emma did not pass the ball to Janie although she was open.,The pot was too high.,1,49
I can't cut that tree down with that axe; it is too thick.,She saw that Emma was open.,1,45
"Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.",Madonna slept with her boyfriend.,0,39
"Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.",I can't see around the pillar.,0,24
"There is a pillar between me and the stage, and I can't see it.",Sally had such a good start.,0,49
The city councilmen refused the demonstrators a permit because they advocated violence.,"Later, he and Tatyana would shell them and cook them for the beans' Sunday dinners.",0,10
"Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.",He could not help Larry now.,0,31
The man couldn't lift his son because he was so heavy.,"Later, he and Tatyana would shell them and cook them for the beans' Sunday dinners.",0,61
"There is a pillar between me and the stage, and I can't see around it.","Later, he and Tatyana would shell them and cook them for the beans' Sunday dinners.",0,44
I can't cut that tree down with that axe; it is too thick.,The hair has to be cleaned.,0,20
The police arrested all of the gang members. They were trying to run the drug trade in the neighborhood.,"Later, he and Tatyana would shell them and cook them for the beans' Sunday dinners.",0,55
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.",We rescued the older students.,1,27
"Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.",John was very annoying.,0,20
The drain is clogged with hair. It has to be cleaned.,The duck had better get away to safety fast!,0,34
I can't cut that tree down with that axe; it is too thick.,The mouse was too cautious.,0,68
"They broadcast an announcement, but a subway came into the station and I couldn't hear it.",The bottle was empty.,1,63
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.","The journalists were very persistent, so the interview lasted for a long time.",0,30
The father carried the sleeping boy in his arms.,We rescued the older students.,0,26
"Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.",Anyone who knew that he was 19 years old could take his claim away from anyone.,0,33
"There is a pillar between me and the stage, and I can't see around it.",The duck had better get away to safety fast!,0,62
"George got free tickets to the play, but he gave them to Eric, because he was not particularly eager to see it.",He changed his mind and turned the dishwasher off.,0,44
The delivery truck zoomed by the school bus because it was going so slow.,The sheep ended up looking more like golfers.,0,64
"Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.","Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Tatyana to the table.",0,17
"There is a pillar between me and the stage, and I can't see it.",The lemons came out looking more like telephone poles.,0,48
I couldn't put the pot on the shelf because it was too high.,The cat waited at the top.,0,64
"The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.",The building is very famous.,1,56
"The dog chased the cat, which ran up a tree. It waited at the top.","The journalists were very persistent, so the interview lasted for a long time.",0,55
"The dog chased the cat, which ran up a tree. It waited at the top.",The large ball was made of styrofoam.,0,44
I poured water from the bottle into the cup until it was empty.,The lawyer was reluctant to repeat it.,1,68
Emma did not pass the ball to Janie although she was open.,Eric was particularly eager to see it.,0,19
"The older students were bullying the younger ones, so we rescued them.",The police were trying to run the drug trade in the neighborhood.,0,34
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.",The lawyer was reluctant to repeat it.,0,13
"If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.",I can't see around the pillar.,1,42
The drain is clogged with hair. It has to be cleaned.,Susan did not answer.,1,41
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",The school bus was going so slow.,1,32
Madonna fired her trainer because she slept with her boyfriend.,We rescued the older students.,1,24
"The dog chased the cat, which ran up a tree. It waited at the top.",He no longer requires Chester's financial support.,0,54
Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,Father gave Timmy a stern look.,0,13
"The dog chased the cat, which ran up a tree. It waited at the top.",The son was so heavy.,1,53
