answer,question
"[""1998""]",who is the woman astronaut who holds the world record of staying in the space for the longest time
"[""US$500""]",where was the movie beauty and the beast filmed
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",venus's atmosphere has much more carbon dioxide than earth's because
"[""Potassium chlorate""]",who wins in the movie friday night lights
"[""3 to 8 days""]",where does most of our table salt come from
"[""1967""]",how long does it take for the moon to rotate around the earth
"[""Machilipatnam""]",where did the mutiny on the bounty take place
"[""constitutional republic""]",who is the highest ranking officer in the navy
"[""42""]",where does the last name cobb come from
"[""to perceive linear acceleration""]",who played in how to train your dragon
"[""1974""]",when did the first grass appear on earth
"[""volume of the container decreases""]",what song does ohio state sing at the end of the game
"[""Jose Garces""]",who is the lender of last resort in the us
"[""originally from the Greek""]",what is the tea bag made out of
"[""ice caps""]",who sings i wanna be like you jungle book 2016
"[""Machilipatnam""]",when does the new show legacies come out
"[""Eagles""]",what is the population of oak ridge tn
"[""Dylan""]",what is the scientific name for the fungi kingdom
"[""Abigail Rokison-Woodall""]",most premier league goals in a season by a player
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",where is the line between north and south america
"[""San Antonio""]",keeping up with the kardashians season 14 episode 9 air date
"[""Molt Taylor""]",who is the voice of the mad hatter
"[""ice caps""]",when was the last time baltimore had a republican mayor
"[""1900""]",where did the invasion of italy take place
"[""2024""]",when does the rest of season 7 of suits start
"[""Citytv""]",when was the last time the chicago white sox won a world series
"[""Elstree Studios""]",where is the soccer world cup taking place this year
"[""V8 engine""]",when did saint elmo's fire come out
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",when did congress outlaw literacy tests altogether as a prerequisite to voter registration
"[""2012""]",who built kashi vishwanath temple in 16 century
"[""Zone Improvement Plan""]",when is the next episode of bobs burgers coming out
"[""January–July 1975""]",when is season 2 of greenhouse academy coming out
"[""Niagara River""]",who plays the little girl in miracle on 34th street 1994
"[""ice caps""]",who plays the daughter in we bought a zoo
"[""West Bengal""]",who plays duke in she's the man
"[""1988""]",who sang vocals on wish you were here
"[""eastward, in prograde motion""]",where is a right to a trial by jury found
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",where did the battle of poitiers take place
"[""1920 to 1933""]",who played egon in the original ghostbusters movie
"[""New York Yankees""]",who plays the asian girl in deadpool 2
"[""Charles Young""]",where is the most of the iodine in the body concentrated
"[""originally from the Greek""]",itc grand chola chennai is 5 star or 7 star
"[""Lebanese""]",what type of poem is hickory dickory dock
"[""1974""]",who is guest judge on america got talent
"[""2015""]",who has the most championship rings in basketball
"[""2015""]",who is the narrator in disappeared on id
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",what type of music is 3 doors down
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who sings make em laugh in singin in the rain
"[""March 9, 2018""]",what was the purpose of the national industrial recovery act
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",who founded some of the first movements toward independent living and disability rights
"[""Prince Phillip""]",where is the hgtv show home town filmed
"[""Phillip Alford""]",what type of spanish do they speak in puerto rico
"[""1980""]",when was the tread act mandated by the nhtsa in the us
"[""Pom Klementieff""]",who played julie on days of our lives
"[""after a minor infringement""]",who played mckenna in mckenna shoots for the stars
"[""Zone Improvement Plan""]",what breed was the turner and hooch dog
"[""2–4 years""]",when is f is for family coming back on netflix
"[""2018""]",who played jade on days of our lives
"[""December 15, 2017""]",who went to the super bowl in 1999
"[""six""]",who played mickey pearce in only fools and horses
"[""Monasteries"",""wealthy individuals"",""rulers""]",how old do u have to be to get a tattoo in washington
"[""12""]",who leads the national league in home runs this year
"[""E. M. Forster""]",where are most substances absorbed into the blood
"[""after a minor infringement""]",who starred in he's just not that into you
"[""2015""]",song all i wanna do is take your money
"[""A mood swing""]",who drove the number 16 car in nascar
"[""42""]",who was the dog in marley and me
"[""E. M. Forster""]",who wrote it's getting hot in here
"[""1974""]",when was the city of new york founded
"[""Sachin Tendulkar""]",what is the biggest lakes in the world
"[""West Indies""]",how long is the term of a president in the usa
"[""Lebanese""]",who sang go rest high on that mountain
"[""9""]",who spread the theory that one is a product of the mind and body
"[""Saddam Hussein""]",who streaked across the stage at the 1974 academy awards
"[""centroid""]",when was the term surfing the internet coined
"[""Evaluation and management""]",where did aaron judge play baseball last year
"[""Miguel Cabrera""]",who has the fastest 40 yard dash in the nfl ever
"[""Spanish""]",what is the age limit to go on an lds mission
"[""Lacey Turner""]",voice of tiana's mother in princess and the frog
"[""35""]",who is the voice of shadow on homeward bound
"[""a maroon Bristol 405""]",who wrote the song it's so hard to say goodbye
"[""Lionel Messi""]",how many episodes on season 2 of stranger things
"[""Saleisha Stowers""]",who plays nanny plum in ben and holly's little kingdom
"[""April 28, 2017""]",different types of oils that can be used with an oio lens
"[""Greek""]",who plays the hero boy in polar express
"[""1943""]",where does i am princess x take place
"[""volume of the container decreases""]",11. what was the legislative assembly of czarist russia from 1905 to 1917 called
"[""1974""]",shape with 4 sides and no right angles
"[""James Arthur""]",the appendicular skeleton is made up of bones of the
"[""originally from the Greek""]",who led the french army during the battle of waterloo
"[""Islamic prophet Muhammad""]",when does the third season of rick and morty start
"[""December 15, 2017""]",where is the area code 607 located in usa
"[""10 one-hour episodes""]",who's opening for j cole 4 your eyez only
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",where does the water for lake las vegas come from
"[""John O'Banion""]",what is the largest prison in the united states
"[""2018""]",who sang i just can't help believing first
"[""Potassium chlorate""]",when does season 3 of wanted come out
"[""a wild Pikachu""]",when did handmaid's tale go into production
"[""1950""]",when did the price is right first air
"[""Thurl Ravenscroft""]",who sings the 21 jump street theme song
"[""Season 4, Episode 8""]",who sang the national anthem super bowl last year
"[""1998""]",who needed the heart in the wizard of oz
"[""12""]",power over the island nation of cyprus is disputed by (5 points)
"[""Ryan ten Doeschate""]",when did the us last host the olympics
"[""Lebanese""]",first leader of opposition in lok sabha was
"[""Zone Improvement Plan""]",who starred in the movie scent of a woman
"[""Phillip Alford""]",who is the chess champion of the world
"[""Carole King""]",who sang love don't live here anymore
"[""Evaluation and management""]",how far is victoria tx from the beach
"[""Ryan Guzman""]",when did the tax free savings account start
"[""Marvin Gaye""]",what is the name of redmi y1 in china
"[""12""]",when was willy wonka and the chocolate factory released
"[""Mary Kate Schellhardt""]",who wrote help me make it through the night lyrics
"[""unknown""]",when was the first ford model a built
"[""71%""]",first tennis player to win four grand slam titles in a single year
"[""George Hudson""]",what language do they speak in the isle of man
"[""2000""]",where is the set of taarak mehta ka ooltah chashmah
"[""35""]",who founded the order or congregation in western australia
"[""unknown""]",who wrote east of the sun west of the moon
"[""1967""]",which is largest state in india by population
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",give 5 examples of commercial banks in south africa
"[""the Ivrea Codex"",""the Apt Codex""]",when did fall out boy's hiatus end
"[""video editing""]",when did the fault in our stars movie come out
"[""4""]",god's not dead a light in the darkness release date
"[""rose window""]",who played orville in every which way but loose
"[""Australia""]",who plays dr k on this is us
"[""Josh Groban""]",where does the phosphorus found in living things originate
"[""Saleisha Stowers""]",what was the cause of the black death in europe
"[""US$500""]",which country is the champion of fifa world cup 2014
"[""13""]",minimum age to drive transport vehicle in india
"[""ice caps""]",what do they put on bulls to make them buck
"[""7""]",what is l's real name from death note
"[""1960""]",who plays barry allen in justice league movie
"[""March 25, 2011""]",who plays archie on once upon a time
"[""Welton Academy""]",what's in the green whistles on bondi rescue
"[""2009""]",who plays faramir in lord of the rings
"[""1,089 sq ft""]",what is the full name of the president of ghana
"[""Parafollicular cells""]",what breed was the turner and hooch dog
"[""2018""]",what real life mission returned a sample from a comet
"[""to perceive linear acceleration""]",when did queens of the stone age form
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who stars in the movie the quiet place
"[""122""]",what was the venue of 2015 cricket world cup's final match
"[""10 one-hour episodes""]",who made the song i can't make you love me
"[""Mexico"",""Soviet Union""]",who has won the champion league the most
"[""PewDiePie""]",what type of music is 3 doors down
"[""Thurl Ravenscroft""]",when is series 4 of millie inbetween coming out
"[""a maroon Bristol 405""]",who sings more than a woman to me
"[""1962""]",which country in the southeast asian realm has the largest population
"[""1981""]",when did the packers play at camp randall
"[""July 16, 2017""]",who won mvp in the nba all star game
"[""Jason Michael Lee""]",who played uncle fester in the addams family movies
"[""4""]",who wrote the influence of sea power upon history
"[""Clayton Moore""]",what native american tribe lived in the grand canyon
"[""rose window""]",how many episodes of fawlty towers was there
"[""May 5, 1992""]",when was willy wonka and the chocolate factory released
"[""Pom Klementieff""]",what are the chemical application of potassium permanganate
"[""China""]",when did the lego ninjago movie come out
"[""Charles Young""]",when does series 6 of the next step start
"[""August 27, 2017""]",how many times were the chennai super kings ipl champions *
"[""the axon terminal""]",who wrote you're going to love me
"[""1,089 sq ft""]",highest run scorer of under 19 world cup 2018
"[""Elstree Studios""]",how many seasons of white collar was there
"[""April 28, 2017""]",when does nhl 2018 19 schedule come out
"[""West Indies""]",where is the summer olympics going to be in 2 years
"[""October 10, 2017""]",when did the winter olympics start this year
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",when did south korea have the summer olympics
"[""Richard Dawson""]",who is the winner in rising star season 2
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",who plays celia in nanny mcphee and the big bang
"[""St. Louis Cardinals"",""San Francisco Giants""]",who is the highest goal scorer in the epl
"[""Elstree Studios""]",what is the accent over the i in spanish called
"[""August 17, 2018""]",who is the new chairman senate of pakistan
"[""Matthew Prokop""]",who were the hosts of america got talent
"[""18""]",who played maid marian in robin hood prince of thieves
"[""August 27, 2017""]",who wrote life is just a bowl of cherries
"[""1792""]",how many seats ppp have in national assembly
"[""after a minor infringement""]",when was the national world war ii memorial built
"[""1939""]",who did cole swindell write you should be here for
"[""13""]",what are three types of tissue that can be found in the dermis
"[""9""]",who elects the board of directors for a publicly traded company
"[""1962""]",when was the last time the mets won the world series
"[""Mexico"",""Soviet Union""]",what does the five olympic rings stand for
"[""1942""]",protocols used in transport layer of osi model
"[""March 9, 2018""]",when does madden 2018 come out for playstation 4
"[""Abigail Rokison-Woodall""]",who sang i've been through the desert on a horse with no name lyrics
"[""Charles Young""]",when did the draft start for world war 2
"[""Shirley Mae Jones""]",when was the last time someone had smallpox
"[""a wild Pikachu""]",where are the houses from full house located
"[""James Arthur""]",where is the red eared slider turtle from
"[""January–July 1975""]",darwin finches refers to a group of which creature
"[""Barbicide""]",who has won the most titles in wwe
"[""the axon terminal""]",when does the new grey's anatomy come on
"[""42""]",house of cards season 3 physical therapist actress
"[""US$500""]",who is the current mr money inthe bank
"[""six""]",when did the rose garden became the moda center
"[""PewDiePie""]",who played dorothy gale in return to oz
"[""Thurl Ravenscroft""]",what is the name of house of horse
"[""Abigail Rokison-Woodall""]",how much of the us national debt does china own
"[""Spectre""]",what is the most common bible translation in english
"[""August 17, 2018""]",when do you get a high school class ring
"[""Ryan Guzman""]",who plays male lead in far from the madding crowd
"[""pyramidion""]",what channel is sky sports action on virgin
"[""Marvin Gaye""]",what episode of wizards of waverly place does juliet get taken by the mummy
"[""1982""]",where did the first trade center of danish company was established
"[""West Indies""]",when was the last time halley's comet came by
"[""March 27, 2018""]",who sang i got a little something for you
"[""Ryan ten Doeschate""]",what part of florida is florida international university
"[""Saleisha Stowers""]",who won the most superbowls in the nfl
"[""2002""]",how many episodes is hunting hitler season 3
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",how did mission san gabriel arcangel get its name
"[""35""]",where is human sperm stored in the body
"[""Pom Klementieff""]",who kept fairytale of new york from number 1
"[""2018""]",which glob character matches zero or more characters
"[""Christopher Robert Evans""]",who won the college baseball world series 2017
"[""six""]",who strengthened the influence of the supreme court
"[""the Cambrian explosion""]",where is the location shoot of araw gabi
"[""to perceive linear acceleration""]",who plays miss stacy in anne with an e
"[""New Netherland""]",where did the iran iraq war take place
"[""1980""]",what type of car is eleanor in gone in 60 seconds
"[""produces a lubricating mucus""]",who streaked across the stage at the 1974 academy awards
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",total number of medals in commonwealth games 2014
"[""42""]",how many times did dale earnhardt win daytona
"[""March 27, 2018""]",which u.s. political party is considered to lean to the left
"[""horses""]",how many unesco world heritage sites in uk
"[""Calcium ions""]",where was the episode beyond the wall filmed
"[""rose window""]",who sings the song saturday in the park
"[""Christopher Robert Evans""]",who played young norman in a river runs through it
"[""1967""]",who is the current nigerian deputy senate president
"[""E. M. Forster""]",where was the airport scene in dumb and dumber filmed
"[""constitutional republic""]",who won the battle of las navas de tolosa
"[""42""]",who plays channing tatum's daughter in white house down
"[""Jason Michael Lee""]",when did the jets beat the patriots in the playoffs
"[""1939""]",when did the new russian calendar go into effect
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",who is the man in the boy is mine video
"[""March 25, 2011""]",the first civilization in asia formed along the and river valleys around bc
"[""South Side, Chicago""]",why did the us support several coups in south vietnam during the 1960s
"[""12""]",how many stadiums are there in the us
"[""six""]",how much did fifty shades of grey make at the box office
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",how much does it cost to renew a cuban passport
"[""to perceive linear acceleration""]",who played the artful dodger in oliver in 1967
"[""University of South Carolina""]",who invented the first telescope in the world
"[""Mexico"",""Soviet Union""]",measurement system whose divisions are powers of ten
"[""Billie Jean King""]",when was the first new pound coin made
"[""North Korea""]",when is season 3 of some assembly required coming to netflix
"[""12""]",joule is unit of. in mks system
"[""Charles Young""]",where did pretty little liars go to college
"[""2010""]",where does the royal family live in denmark
"[""Guaranteed Rate Field""]",when was the first mcdonald's opened in canada
"[""Tuticorin (Thoothukudi)""]",what caused the american oil crisis of 1974
"[""2017""]",who played larry in the spy next door
"[""1981""]",who played batgirl in batman and robin tv series
"[""oxidative phosphorylation""]",who owns the spotted pig in new york city
"[""1981""]",when does the next supergirl episode come out
"[""35""]",when did libya give up its nuclear weapons
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",when did doritos spicy sweet chili come out
"[""Mary Kate Schellhardt""]",6. what is the name of the danish goldsmith who founded the pandora jewelry company
"[""pyramidion""]",who conceeded the most goals in world cup 2018
"[""1980""]",who sings i get knocked down but i get up again
"[""March 9, 2018""]",where is once upon a time in hollywood being filmed
"[""Amanda Shiflett""]",where does the last name dukes come from
"[""12""]",who did jason bateman play in the little house on the prairie
"[""Pom Klementieff""]",who was the pioneer that helped build the wilderness road
"[""Jason Michael Lee""]",who was the book of deuteronomy written to
"[""35""]",where did spandau ballet get their name from
"[""1988""]",who plays rebecca in bridget jones edge of reason
"[""a compulsory governmental insurance system""]",how long after the stamp act congress of october 1765 did parliament repeal the stamp act
"[""Islamic prophet Muhammad""]",what is the name called out in the neverending story
"[""1980""]",where are you from if you speak dutch
"[""2018""]",where is the final of u17 world cup
"[""John von Neumann""]",what season of bachelor was jamie from married at first sight on
"[""PewDiePie""]",what is the largest fish in the amazon
"[""9""]",who sang it's such a perfect day
"[""horses""]",who plays sherman in mr peabody and sherman
"[""1982""]",what is the largest county in population in tennessee
"[""Thurl Ravenscroft""]",who is playing in the cotton bowl 2017
"[""Alex Rodriguez""]",what territories did us gain after spanish american war
"[""ice caps""]",when white light is cast upon cyan toner. which color wavelengths are reflected
"[""1984""]",what was the name of the dog of dennis the menace
"[""1988""]",who voices the tooth fairy in rise of the guardians
"[""13""]",when did earth's population reached 6 billion
"[""1982""]",when did the sabre tooth tiger became extinct
"[""Guaranteed Rate Field""]",the story idea for the yellow wallpaper was based on a civil war treatment called
"[""Mary Kate Schellhardt""]",who's won the most trophies liverpool or manchester united
"[""12""]",who is the most followed person on instagram in the world
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",when did the fast and furious movie come out
"[""a maroon Bristol 405""]",what ecosystem is flat with many tall grasses
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",when does the next doc martin series start
"[""Abigail Rokison-Woodall""]",when was the last time someone had smallpox
"[""Australia""]",who did meg ryan play on as the world turns
"[""March 9, 2018""]",the tallest man that ever lived on earth
"[""pyramidion""]",who played harry on sex and the city
"[""17""]",what is the purpose of the small intestines
"[""Mexico"",""Soviet Union""]",how many stanley cups did edmonton oilers win
"[""2000""]",who presided over the congress session in 1905
"[""71%""]",when did the old jason leave general hospital
"[""Saleisha Stowers""]",who won the battle of the thousand islands
"[""2–4 years""]",which european country was the first to establish a colony in southeast asia
"[""13""]",where was episode 3 crocodile of black mirror filmed
"[""13""]",the earth is tilted on its axis at an angle of
"[""Lake Baikal""]",when does the 16 days of activism campaign start
"[""Saddam Hussein""]",when did galway last win all ireland hurling final
"[""Dev"",""Devin Star Tailes""]",who was the little boy in the shining
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",when did the us become allies with britain
"[""Machilipatnam""]",when did the song don't go breaking my heart come out
"[""August 17, 2018""]",what is ralph angels real name on queen sugar
"[""Zaira Wasim""]",where is the lowest age of consent in america
"[""Greek""]",when is series 3 of 800 words being aired
"[""West Indies""]",where was dark side of the moon recorded
"[""eastward, in prograde motion""]",shmuel the boy in the striped pajamas actor
"[""18""]",who plays will's mother in will and grace
"[""18""]",who started the first news paper in india
"[""1890""]",who has been paid the most for a movie
"[""Matthew Prokop""]",what happened to the third guy in nirvana
"[""US$500""]",how many seasons of eric and jessie are there
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",the preamble of the constitution of india is based on the model of
"[""August 27, 2017""]",which barbarian groups entered the western roman empire through germany
"[""1939""]",don go breaking my heart who sings it
"[""13""]",when does drag race all stars 3 premiere
"[""Citytv""]",who has the most inductions into the rock and roll hall of fame
"[""1967""]",who played the mother on the partridge family
"[""Amanda Shiflett""]",when a substance goes directly from a solid state to a gaseous form the process is known as
"[""Matthew Prokop""]",when does the great christmas light fight 2017 start
"[""Guaranteed Rate Field""]",when did world war 2 in europe end
"[""Lacey Turner""]",what is the prince's name in princess and the frog
"[""2015""]",when did the state of texas reinstate the death penalty
"[""2017""]",who won the champions league final last year
"[""Greek""]",who gained the power in russia after the october revolution
"[""Season 4, Episode 8""]",when does the star wars disney park open
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",who played uncle fester in the addams family movies
"[""Niagara River""]",where is nj transit located in port authority
"[""North Korea""]",when did the song drift away come out
"[""oxidative phosphorylation""]",white dots on nails what does it mean
"[""July 16, 2017""]",who was the comedian who said chase me
"[""Richard Dawson""]",who did the rockets trade for kyle lowry
"[""Billie Jean King""]",what part of paris is notre dame in
"[""a maroon Bristol 405""]",who scored the first goal of fifa wc 2014
"[""1980""]",what state is the new england patriots football team from
"[""1,089 sq ft""]",first year for fuel injection on harley davidson
"[""2000""]",how many kinds of sign language are there in the world
"[""12""]",life insurance corporation of india is private or government
"[""Eagles""]",who won the popular vote 2016 presidential election
"[""April 28, 2017""]",who has won more games real madrid or barcelona
"[""Evaluation and management""]",between which two state is the krishna godavari water dispute notice
"[""Over 2,500""]",when does rick and morty ep 7 air
"[""New York Yankees""]",what does the president of the united states earn
"[""Dylan""]",who sang the songs in the movie burlesque
"[""2024""]",who wrote rick and morty season 3 episode 3
"[""2018""]",name the continent with which north america has a land link
"[""1792""]",who sings the song it's the god in me
"[""Monasteries"",""wealthy individuals"",""rulers""]",who said what's done is done in macbeth
"[""Marley""]",when did steph curry win his first ring
"[""January–July 1975""]",when was the last time england made the quarter final world cup
"[""Mexico"",""Soviet Union""]",who played the first ryan on last man standing
"[""Lebanese""]",who voices the tooth fairy in rise of the guardians
"[""Gal Gadot""]",which ruler stopped the practice of jharokha darshan
"[""Carole King""]",when did us capitol moved to washington dc
"[""August 17, 2018""]",who performed the first open heart surgery in america
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",when was congress supposed to meet according to the original constitution
"[""2–4 years""]",what is the theme song to the munsters
"[""A concerto""]",who has the power over the money in the us government
"[""Charles Young""]",who does the voice of erica in hotel transylvania 3
"[""17""]",what the date of the fa cup final
"[""1942""]",when does the next part of the ranch come out
"[""Jesse Donald Knotts""]",what type of iron ore found in india
"[""Ryan ten Doeschate""]",where was kievan rus and why is it named that
"[""Jason Michael Lee""]",when did the first disney incredibles come out
"[""1988""]",this was invented at london club called the cat whiskers
"[""1920 to 1933""]",when does meredith and derek get back together in season 3
"[""redox reactions""]",who become the family wizard in wizards of waverly
"[""2012""]",who wrote not all who wander are lost
"[""1,089 sq ft""]",when did the us engage in the vietnam war
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",what is the current world record for shot put
"[""Saleisha Stowers""]",who was the last surviving spanish american war veteran
"[""Mexico"",""Soviet Union""]",what year did the christmas story come out
"[""1962""]",when is the show six coming back on
"[""1974""]",when did madras changed its name to chennai
"[""a compulsory governmental insurance system""]",how many episodes in season 4 of soa
"[""2017""]",last week tonight with john oliver season 5 episode 16 topic
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",who voices linda's mom in bob's burgers
"[""Anil Kumar Jha""]",who is ted talking about in how i met your mother
"[""March 9, 2018""]",what type of magma formed at mid-ocean ridges
"[""July 16, 2017""]",who sings hey hey my my in sons of anarchy
"[""Richard Dawson""]",when did us go to war in afghanistan
"[""Parafollicular cells""]",the iliad an account of the trojan war was written by
"[""oxidative phosphorylation""]",what happens to krista in the night shift
"[""2018""]",when did it become mandatory to have a social security number
"[""Tuticorin (Thoothukudi)""]",when is the new bleach movie coming out
"[""April 28, 2017""]",where did jesus heal peter's mother in law
"[""Anderson Silva""]",who sings it must be love on the brain
"[""4""]",when did grocery stores start using plastic bags
"[""Josh Groban""]",what is the full form of r.s.v.p in wedding cards
"[""Saddam Hussein""]",who is next in line to be the monarch of england
"[""Lacey Turner""]",how many episodes in sense 8 season 1
"[""unknown""]",who is playing role of kalasur in qayamat ki raat
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",when did india gain independence from british rule
"[""Welton Academy""]",who pitched in the most major league games
"[""August 27, 2017""]",when does new episodes of the handmaids tale come out
"[""E. M. Forster""]",when did glenn miller wrote in the mood
"[""9""]",where does the term spirits for alcohol come from
"[""Miguel Cabrera""]",who won the last series of t20 medal in 2017
"[""1980""]",where was king arthur legend of the sword shot
"[""New Netherland""]",our souls at night where is it filmed
"[""1,089 sq ft""]",who plays young snow on once upon a time
"[""2018""]",what is the age of consent in nsw
"[""Zaira Wasim""]",what was the war between sparta and athens
"[""Niagara River""]",family guy stewie and brian start a band
"[""1967""]",average hourly wage in india in us dollars
"[""Amanda Shiflett""]",what are other names for high fructose corn syrup
"[""Season 4, Episode 8""]",when does the next supergirl episode come out
"[""2018""]",what was the first need for speed game
"[""January–July 1975""]",when did the maple leafs last win the stanley cup
"[""Australia""]",when was the first female supreme court justice appointed
"[""Constantine""]",what state is the new england patriots football team from
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",what is the term used to describe students who are both intellectually gifted and learning disabled
"[""St. Louis Cardinals"",""San Francisco Giants""]",how many times peyton been to super bowl
"[""centroid""]",who played the young tom riddle in harry potter
"[""January–July 1975""]",the effect in which one image transforms into another is known as
"[""centroid""]",what does ncd stand for in medical terms
"[""179""]",when does the women's college basketball season start
"[""1980""]",who led the metis in the red river rebellion
"[""71%""]",which celestial bodies will isro's proposed aditya mission study
"[""Parafollicular cells""]",who played teresa on all in the family
"[""George Casper Homans""]",who was andy's girlfriend on the andy griffith show
"[""2010""]",who plays mr wickham in pride and prejudice
"[""George Casper Homans""]",when did romans destroy 2nd temple of jerusalum
"[""Eagles""]",name of first episode of this is us
"[""Monasteries"",""wealthy individuals"",""rulers""]",the count of monte cristo takes place in
"[""2012""]",house of cards season 3 physical therapist actress
"[""San Antonio""]",where is the line between north and south america
"[""North Korea""]",who won season 10 worst cooks in america
"[""Monasteries"",""wealthy individuals"",""rulers""]",when does the french and indian war begin
"[""Alex Rodriguez""]",who won season 8 of rupaul's drag race
"[""Sachin Tendulkar""]",what is the trojan war in greek mythology
