sentence,label,idx
A smith hammered the metal.,1,986
The police sprayed water on the protesters.,1,502
"Millie will send the President an obscene telegram, and Paul, the Secretary a rude letter.",0,746
"I know which book Mag read, and which book Bob said that you hadn't.",1,971
"Mary asked me if, in St. Louis, John could rent a house cheap.",0,864
I presented Bill with it to read.,1,190
The horse kicked me black and blue.,0,463
Emma made Harriet some food.,1,762
Dana walking and Leslie ran.,1,586
"Arizona elected Goldwater Senator, and Massachusetts, McCormack.",1,703
Sophie will theater.,0,400
They were taking a hard look at possible FTA.,1,7
The fort fluttered with many flags.,1,87
The child put the toy on the table.,1,1006
We forgot our invitations.,1,662
"Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.",1,851
He washed her.,1,834
She's been dancing but we don't know with whom.,0,758
Brian threw the fence with the stick.,0,173
The crocodile devoured the doughnut.,1,178
John was believed by Mary to be telling the truth.,0,234
"Poor Bill, it had started to rain and he had no umbrella.",0,545
Anson demonized up the Khyber,1,538
John's arriving dead surprised me.,1,236
Which hat did Mike quip that she never wore?,0,18
A letter was received that Jones would be upset by.,1,1003
"She talked to Harry, but I don't know who else.",1,1016
In the classroom John put the book on the table.,1,1015
Brian threw the fence with the stick.,1,243
John believes it that Bill is here.,1,461
Terry delighted in my pain.,1,544
Brian threw the fence with the stick.,1,887
Sam offered the ball out of the basket.,1,280
Susan whispered the news.,1,107
Bother you that Kim left!,1,830
Heidi thinks that Andy should eat salmon flavored candy bars.,1,862
John lay the ball in the box.,1,416
The book that I said that I'd never read.,0,763
It stinks that Aphrodite is omnipotent.,0,40
Dumb ideas are put in children's heads.,0,975
John's drum will always bother me.,1,1021
"She was dancing with somebody, but I don't know who with.",1,156
The horse that was raced past the barn fell.,1,419
I wondered who Medea had poisoned.,0,718
John counted on Bill to get there on time.,1,636
Dana walked and Leslie ran.,1,654
The bears sniffed,1,863
"We launched the rocket to the moon, but it blew up before it got there.",1,593
One of Korea's most famous poets wrote these lines.,1,902
John tries to leave the country.,1,681
I served my guests.,0,93
"Bob tried to wash himself, and Mary to read the funnies.",0,620
I gave money to the charity.,1,41
"If the ants were called elephants and elephants ants, I'd be able to squash an elephant.",0,845
Water bubbled up out of the kettle.,1,297
"George has spent a lot of money, hasn't he?",1,792
Carmen obtained the spare part at the hardware store.,1,86
I'm sure I would like him to eat fruit more than I would cookies.,0,24
I dislike the person with whom we were talking.,1,876
The boy in the doorway waved to his father.,1,316
It bothers me that he is here.,0,444
Linda winked her lip.,1,800
"Max seemed to be trying to force Ted to leave the room, and Walt, Ira.",1,67
What did you leave before they started playing?,0,187
Max is on the phone now.,1,654
This flyer and that flyer differ apart.,0,328
Gwen hit the baseball.,1,853
On whom are you counting to incriminate himself?,1,465
a tall building.,1,357
Joan ate dinner with someone but I don't know who.,1,38
"Because she's so pleasant, as for Mary I really like her.",1,309
It is not true that I might be going to the party.,1,649
"Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.",1,327
A magazine about crime appeared on the newsstands.,0,158
I would like to could swim,1,125
"Extremely frantically, Anson danced at Trade",0,761
The jury believed the defendant lied.,1,816
The farmer loaded the cart with apples.,1,424
Anson demonized,0,49
Bill ate the peaches and Harry did the grapes.,0,675
John's mother likes himself.,1,814
"Bill ate the peaches, but Harry the grapes.",1,229
John made Bill mad at himself.,0,40
"If I am a rich man, I'd buy a diamond ring.",0,352
Which topic did you choose without getting his approval?,1,367
He washed yourself.,1,406
I want goes to the store.,1,957
Some people consider dogs dangerous.,1,170
The book that crime was declining surprised many people.,0,610
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.",1,191
"Several firefighters were injured, but it's not known.",0,318
The socks are ready for for you to put on to be planned.,1,775
John paid me against the book.,1,143
That Fred was unpopular nominated Bill.,1,243
Emma made Harriet some food.,0,743
The voices echoed in the hall.,1,121
Water bubbled up out of the kettle.,0,987
Chocolate eggs were hidden from no child by any adult.,1,310
He left the train with somebody else's wallet in his pocket.,1,143
I presented it to Bill to read.,0,972
The cat got bitten.,1,920
the attempt by John to leave surprised me.,1,736
Those pictures of us offended us.,1,807
I want her to dance.,0,650
"Bill ate the peaches, but Harry the grapes.",0,681
Jason happens to appear to seem to be sick.,1,418
Bill's funny story about Sue and Max's boring one about Kathy both amazed me.,1,866
I met the man who grows peaches.,1,786
The magazines were sent to herself by Mary.,0,1013
He's a more reliable man.,1,216
"He announced he would marry the woman he loved most, but none of his relatives could figure out who.",1,466
There is a programme about Euripides on a Radio 4 tonight?,0,939
"Which boy's, mother, did you meet who you liked?",1,920
She can run an accelerator.,1,957
So fast did he run that nobody could catch him.,1,327
I dislike the people in whose house we stayed.,0,434
You wanted to meet the man I saw.,1,418
I am both expecting to get the job and of the opinion that it is a desirable one.,1,83
She's been dancing but we don't know with whom.,1,584
It annoys people that dogs bark.,1,339
My mother is easy to please my father and.,1,806
Linda taped the picture to the wall.,1,620
Bill ate the peaches and Harry did the grapes.,1,889
Chris handed Bo.,1,582
These dogs barked.,1,419
Rusty talked about himself only after Mary did talk about him.,0,642
It was expected by the reporters that the principal would fire some teacher.,1,367
I lent the book partway to Tony.,1,645
Harriet admired Mr Knightley.,1,750
The book that crime was declining surprised many people.,1,528
The person confessed responsible.,1,498
Sam gave the ball out of the basket.,1,907
That dogs bark annoys people.,1,237
"We launched the rocket to the moon, but it blew up before it got there.",1,310
Harriet admired Mr Knightley.,1,618
Fred talked about everything before Rusty did talk about something.,1,689
There seemed to be intelligent.,1,156
This proved a decisive factor.,1,352
Chris was handed Sandy a note by Pat.,1,810
The committee will study the feasibility of setting up a national computer network.,1,570
The kennel which Mary made and Fido sleeps has been stolen.,0,50
We think that Leslie likes us.,1,553
Where did you go and who ate what?,1,716
Tom's dog with one eye attacked Frank's with three legs.,1,650
"Arizona elected Goldwater Senator, and Massachusetts, McCormack.",0,1015
"Joan said she talked to the students, but Fred couldn't figure out who.",1,42
Pat was awarded the Golden Fleece Award and very upset about it.,0,65
In which way is Sandy very anxious to see if the students will be able to solve the homework problem?,0,987
"I will see them, but I don't know how many of them.",0,552
The book that I said that I'd never read.,0,390
"John likes some students, but I don't know who.",0,510
If only Superman would stop flying planes!,0,864
It would be unwise for there to be no fire exit.,0,988
Pat is hate Chris.,0,462
the putter of books left.,1,213
The evidence assembled by the prosecution convinced the jury.,1,769
the panther's the coat is dark black.,0,107
"I know which book Mag read, and which book Bob read my report that you hadn't.",1,928
What the water did to the whole bottle was fill it.,1,1018
There was a felon elected to the city council.,1,907
John made Bill master of himself.,1,916
Chocolate eggs were hidden from every child by his mother.,1,412
She voted for herself.,1,500
Terry delighted my pain.,1,861
It bothers me that he is here.,0,54
It would be unwise for there to be no fire exit.,1,46
Jessica crammed boxes at the truck.,1,431
The witch poisoned the children.,0,478
I bought three quarts of wine and two of Clorox.,1,762
Most of the fruit is rotten.,1,946
to die is no fun.,1,893
That banana is eating the monkey.,1,275
What did you ask who saw?,1,1005
I don't know if I should agree.,0,1003
"Jones, that we were talking to last night, always watches football games alone.",1,964
Some people consider noisy dogs dangerous.,0,102
John convinced Bill that Mary should sleep.,1,968
No one can forgive that comment to you.,1,103
Felicia kicked the ball off the bench.,1,949
It would be unwise for there to be no fire exit.,1,422
"The more you would want, the less you would eat.",0,962
It annoys people that dogs bark.,1,624
I'll work on it if I can.,0,481
Bill sent a package to Tom.,1,566
Books were taken from no student and given to Mary by any professor.,1,131
the book of poems and from Blackwell takes a very long time to read.,1,683
Kris donated a book to the library.,0,660
There is a bench to sit on.,1,785
I wonder in whom to place my trust.,1,148
This building is tall.,1,227
"No writer, and no playwright, meets in Vienna.",1,525
Bill's funny story about Sue and Max's boring one about Kathy both amazed me.,1,843
Who did they see someone?,0,309
John's mother likes himself.,0,633
I believe there to be no way out.,1,285
Kerry remarked it was late.,1,622
The box contained the ball from the tree.,1,688
Fiona might be here by 5 o'clock.,0,796
We celebrated in the streets.,1,102
Have you seen my model airplane collection?,1,12
Heidi thinks that Andy should eat salmon flavored candy bars.,1,661
John was struck by Bill as pompous.,1,944
I would prefer to leave.,1,656
The sailors rode the breeze clear of the rocks.,1,387
1 gave Mary after the party a book.,0,694
"Everybody who attended last week's huge rally, whoever they were, signed the petition.",0,314
We persuaded Mary to leave and Sue to stay.,1,247
"Sandy was trying to work out which students would be able to solve a certain problem, but she wouldn't tell us which one.",1,83
Newsweek about crime appeared on the newsstands.,1,884
Colin asked if they could get a mortgage.,0,902
A letter was received Jones would be upset by.,1,532
"She talked to Harry, but I don't know who else.",1,813
"The TA's have been arguing about whether some student or other should pass, but I can't now remember which one.",0,292
There is a programme about Euripides on a Radio 4 tonight?,0,209
I served my guests.,1,619
"Bill ate the peaches, and Harry did, too.",1,786
"Millie will send the President an obscene telegram, and Paul, the Secretary a rude letter.",1,471
I presented Bill with it to read.,1,490
Bill didn't allege that Roger had eaten anything.,1,469
Susan told a story to her.,0,166
Mary has always preferred lemons to limes.,1,814
A letter was received Jones would be upset by.,1,810
I want goes to the store.,1,552
I no more could have stolen that steak than Jack the diamonds.,1,624
You've really lived it up.,1,4
Bill ate the peaches and Harry did the grapes.,1,978
It gave Sandy a thrill that the Cardinal won the game.,1,486
Blue leather shows herself that Betsy is pretty.,1,798
Carla slid at the book.,0,808
Chocolate eggs were hidden from every child by his mother.,0,355
Do you believe the claim that somebody was looking for something?,1,358
