answer,question
"[""alternating current/direct current""]",who was the coach of indian cricket team in 2011
"[""Australia""]",who sings you're a mean one mr grinch song
"[""12""]",what is microsoft office visio mui (english) 2010
"[""13""]",what was the name of tonto's horse
"[""countries that ratified the convention""]",when does ralph break the internet come out
"[""Priya Vasudev Mani Iyer""]",who invaded the island of iwo jima japan
"[""2000""]",the dark part of a shadow where light from a source is completely blocked is called the
"[""Below the knee""]",when india was divided what was pakistan designated for
"[""2017""]",who plays 15 cent in the proud family movie
"[""Spectre""]",who played michael jordan in the michael jordan movie
"[""countries that ratified the convention""]",when was carry on my wayward son released
"[""PewDiePie""]",where do i find the gifts of the spirit in the bible
"[""2012""]",what are some natural resources in north korea
"[""St. Louis Cardinals"",""San Francisco Giants""]",when did the first grass appear on earth
"[""2017""]",who plays liam in season 8 of shameless
"[""Samuel Beckett""]",who played the original jason in friday the 13th
"[""2010""]",who played the sergeant major in we were soldiers
"[""late 14th-century""]",who plays jimmy's voice in gta 5
"[""eastward, in prograde motion""]",when did the roman republic become an empire
"[""eastward, in prograde motion""]",where are ball and socket joints found in the human body
"[""Dash""]",who wore all the lantern rings at once
"[""Australia""]",how many doors does a toyota chr have
"[""November 5, 2004""]",a procedure involving the surgical repair of the eyelid is called
"[""Félix Hernández""]",how many nfl championships did the packers win
"[""1 1/2\""""]",when did george gershwin write rhapsody in blue
"[""Gulf of Mexico""]",what movie did angelina jolie won an oscar for
"[""Vivien Leigh""]",when did the dog from turner and hooch die
"[""2000""]",how many episodes in season 4 of soa
"[""Joseph Smith""]",who wrote did i shave my legs for this
"[""July 16, 2017""]",in her tomb by the sounding sea poe
"[""13""]",the number of persons per square kilometer in a country is called
"[""Season 4, Episode 8""]",when did steph curry get drafted into the nba
"[""Team Leader (TL)""]",who wrote if we make it through december
"[""10""]",when did the song i can only imagine get released
"[""the mouthpiece""]",hunting and gathering is primarily associated with what political system
"[""1984""]",when did they stop making all silver half dollars
"[""PewDiePie""]",what is the yin and yang symbol called
"[""A concerto""]",what is the function of the phloem in a plant
"[""September 21, 2018""]",how many games did the vikings win last year
"[""Post Alley""]",who was the first king in game of thrones
"[""Jack Vidgen""]",when did lucid dreams the song come out
"[""Atlanta–Fulton County Stadium""]",when did the new pirates movie come out
"[""2012""]",when does a function not have a limit
"[""2018""]",who won the 2018 us golf open championship
"[""1984–85 season""]",what is an example of a web server
"[""India""]",when does destiny 2 expansion 2 come out
"[""Greek""]",who plays emma on once upon a time
"["", r""]",who played anne frank in the original movie
"[""three or four""]",who plays seven of nine on star trek voyager
"[""Greek""]",who is the girl on lets make a deal
"[""12""]",when were tuition fees introduced in the uk
"[""Men in Black""]",who plays dean in blue lagoon the awakening
"[""1974""]",who sings the counting to 4 song on sesame street
"[""2015""]",who was involved in the croatian war of independence
"[""August 31, 2010""]",who wrote how do you mend a broken heart
"[""enzymes""]",when did oxygen start to accumulate in the atmosphere
"[""2018""]",when was the great pyramid at giza built
"[""1981""]",when is the new start wars coming out
"[""St. Louis Cardinals"",""San Francisco Giants""]",who was the first winner of rupaul's drag race
"[""Mars Bonfire""]",when is teacher’s day celebrated in india
"[""in 2018""]",what is the lowest score in the masters
"[""enzymes""]",starch based food to be made into plastic
"[""Molt Taylor""]",who scored england's last world cup goal
"[""Tallulah Belle Willis"",""Jodhi May"",""Scout LaRue Willis""]",when is the last time yankees won world series
"[""35""]",who signed the treaty of versailles from germany
"[""1967""]",when does season 8 of the walking dead end
"[""2015""]",who played ray's mother in the movie ray
"[""Bernard of Chartres""]",who plays claudio in much ado about nothing
"[""1890""]",who played dumbledore after the first one died
"[""1980""]",who plays eric brady on days of our lives 2017
"[""April 28, 2017""]",who is the bad guy in i know what you did last summer
"[""Jamey Johnson""]",when did wireless charging come out for samsung
"[""35""]",when did they sign the declaration of independence
"[""1984–85 season""]",when does season 5 of blacklist come out
"[""later in pregnancy""]",what is the name of the washington dc baseball team
"[""September 21, 2018""]",where did the siege of petersburg take place
"[""Nathan Mack""]",what position does the vice president of the united states hold in the senate
"[""alternating current/direct current""]",who sings the 21 jump street theme song
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who played frankie on days of our lives
"[""Nathan Mack""]",who has won the most big 12 championships in football
"[""1974""]",who plays max in when we first met
"[""Enoch Sontonga"",""C. J. Langenhoven""]",who plays the robot in meet the robinsons
"[""St. Louis Cardinals"",""San Francisco Giants""]",when did mr hooper dies on sesame street
"[""Highlands North, Johannesburg""]",sound of music where did they escape to
"[""the maturation phase""]",when was the first comprehensive school opened in england
"[""Weapon XI""]",james taylor long ago and far away backing vocals
"[""alternating current/direct current""]",when did england declare war on the colonies
"[""2012""]",what is the name of the meridian at 180 degrees
"[""about 4.54 billion years ago""]",who narrates the new beauty and the beast
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",when was bring it on fight to the finish filmed
"[""31""]",what breed is the lady and the tramp dog
"[""Javier Colon""]",when did the game of thrones books come out
"[""Kevin Phillips""]",who does ryan reynolds play in green lantern
"[""Marvin Gaye""]",when did cuba gain independence from the us
"[""1974""]",when does meredith and derek get back together in season 3
"[""A mood swing""]",who played julie on days of our lives
"[""March 9, 2018""]",with reference to the climate of india the western disturbances originate over
"[""Thurl Ravenscroft""]",what is the type of government in brazil
"[""later in pregnancy""]",how many species of aloe vera are there
"[""Twenty-seven""]",who is bradley cooper playing in a star is born
"[""horses""]",who is going to be the chief minister of punjab
"[""June 16, 2017""]",what station is the dave ramsey show on
"[""James Arthur""]",when was the last time real madrid won la liga title
"[""32""]",when was the last time ferrari won le mans
"[""pyramidion""]",where are the world athletic championships being held
"[""2012""]",when did the mental capacity act came into force
"[""Shirley Mae Jones""]",who sang the lights went out in georgia originally
"[""Sam Manekshaw""]",the main port of axum was the red sea city of
"[""ArmaLite Rifle""]",alan parsons project intro eye in the sky
"[""three or four""]",who has played the most games for the yankees
"[""October 13, 2017""]",where was beauty and the beast tv show filmed
"[""Mars Bonfire""]",what is it called when you cant stand to hear someone chewing
"[""Yann Martel""]",when were credit cards introduced in the us
"[""2000""]",where is womens rugby world cup being held
"[""2018""]",who wins the fight between achilles and hector
"[""Lieutenant General Jagjit Singh Aurora""]",valve responsible for preventing backflow of blood from the lungs into the heart
"[""Jimmie Johnson""]",the line joining points of equal elevation is known as
"[""Arunachal Pradesh""]",who played peter pan's daughter in hook
"[""5 June""]",who was the movie american sniper based on
"[""American singer Kehlani""]",who is the ceo of t rowe price
"[""Spectre""]",what ecosystem is flat with many tall grasses
"[""horses""]",who does gabriel iglesias play in the star
"[""Atlanta–Fulton County Stadium""]",what is sailor jupiter's name in english
"[""Weapon XI""]",when did canada sign the un declaration on the rights of indigenous peoples
"[""$128,400""]",keeper with the highest clean sheet in epl
"[""Lieutenant General Jagjit Singh Aurora""]",what type of dog is fang from get smart
"[""12""]",the barkan waterfall is over which river in karnataka
"[""12""]",who introduced the technique of sign drawing of a man as a measure of intelligence
"[""1981""]",who played judith on two and a half
"[""February 4, 1948""]",which state has the most counties in it
"[""Madhubala""]",when did louisiana became a right to work state
"[""March 9, 2018""]",when did grocery stores start using plastic bags
"[""fertilization""]",when is season 7 of game of thrones being released
"[""1980""]",who does joe swanson's voice on family guy
"[""1980""]",who played uhura on the original star trek
"[""Jason Michael Lee""]",who won the first season of the block
"[""President of the Legislative Council""]",who does leif garrett play in the outsiders
"[""Jimmie Johnson""]",what time was it when the first plane hit the twin towers
"[""Zone Improvement Plan""]",what season does elena become a vampire in the vampire diaries
"[""Vera""]",the cochlea semicircular canals and vestibular sacs make up the
"[""Barbicide""]",when is world water day celebrated and why
"[""20""]",what instrument is used for the harry potter theme song
"[""Bill Russell""]",when was the first dollar general store opened
"[""Men in Black""]",what kind of money does new zealand use
"[""2017""]",how much data does the large hadron collider produce
"[""April 28, 2017""]",when was the st louis cardinals stadium built
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",what chapter in the bible has the 10 commandments
"[""Shirley Mae Jones""]",who wrote the national anthem of south africa
"[""5 June""]",who plays the nun in the three stooges
"[""Democrats""]",who is the statue of liberty based on
"[""1974""]",when did star trek the next generation first air
"[""March 9, 2018""]",where is the hgtv show home town filmed
"[""eastward, in prograde motion""]",3 main branches of government in the philippines
"[""Arunachal Pradesh""]",who plays the invisible man in league of extraordinary gentlemen
"[""June 16, 2017""]",who's the best selling female artist of all time
"[""71%""]",in 1846 the oregon territory was acquired in a compromise with
"[""Jonathan Richman""]",who created the show the big bang theory
"[""redox reactions""]",who wrote the song somebody loan me a dime
"[""1962""]",who won the most medals in 1936 olympics
"[""2017""]",when did fortnite come out on xbox one
"[""NBC""]",when did the thrill of it all come out
"[""Jonathan Richman""]",who played hannibal lecter in silence of the lamb
"[""Jess Walton""]",the cma examination is offered by which organization
"[""Papuan""]",when is dragon ball super season 2 coming out
"[""9""]",who is supreme leader in new star wars
"[""Molt Taylor""]",who won the national championship in college football in 2016
"[""AD 80""]",who plays the queen in 300 rise of an empire
"[""Gulf of Mexico""]",when did the chicago bears start playing at soldier field
"[""Jason Michael Lee""]",who took the video of peter and lara jean
"[""Jimmy Yeary"",""Jessi Alexander"",""Connie Harrington""]",where is the new york comic con held
"[""Ocean Shores"",""Oak Harbor"",""Orting"",""Othello"",""Olympia"",""Oroville"",""Okanogan"",""Omak"",""Oakville""]",who is the girl that does the trivago advert
"[""August 16, 1896""]",where are the 2020 summer olympic games being held
"[""9""]",when was the last time england was in the world cup
"[""Mars Bonfire""]",what episode of the partridge family did they sing i think i love you
"[""cut the South in two""]",when can a new ball be taken in test cricket
"[""Samuel Beckett""]",when do you stop being a minor in canada
"[""9""]",how many episodes are there in season 3 of if loving you is wrong
"[""James Arthur""]",predators of herbivores belong to which trophic level
"[""2018""]",who does justin timberlake play in shrek 2
"[""Matthew Prokop""]",who has been appointed as the new prime minister of romania
"[""August 31, 2010""]",who play the part of the fool in the merchant of venice
"[""December 15, 2017""]",the barkan waterfall is over which river in karnataka
"[""Australia""]",who plays rachel's mom in season 2 of friends
"[""eastward, in prograde motion""]",how old was anakin skywalker when he met padme
"[""2005""]",the ashtavinayak yatra in maharashtra covers eighth holy temples of which god
"[""video editing""]",who won the popular vote 2016 presidential election
"[""1984–85 season""]",who tries to stop violence at sals in do the right thing
"[""Jason Michael Lee""]",who sings it don't hurt like it used to
"[""\""Journey's End\""""]",who plays damon wayans wife on lethal weapon
"[""James Arthur""]",when was the last time steph curry played
"[""March 2008""]",when was james and the giant peach published
"[""1980""]",who sings i got a peaceful easy feeling
"[""Liverpool""]",who won the men's singles at the 2017 french open
"[""Flag Day in 1954""]",when does season 3 of wanted come out
"[""Flag Day in 1954""]",who owns the rights to all eyes on me
"[""71%""]",our souls at night where is it filmed
"[""Gayla Peevey""]",what is the purpose of the primary windings of a transformer
"[""enzymes""]",what type of nuclear bomb was developed by the united states in 1954
"[""1988""]",who won the espy for best nba player
"[""Matthew Prokop""]",who played mini-me in the austin power movies
"[""13,327""]",how many points did leicester win the premier league with
"[""1984–85 season""]",when did the chicago bears start playing at soldier field
"[""Papuan""]",when does cristina yang come back in season 9
"[""1962""]",who surrendered first in ww2 japan or germany
"[""St. Louis Cardinals"",""San Francisco Giants""]",hunting and gathering is primarily associated with what political system
"[""Tallulah Belle Willis"",""Jodhi May"",""Scout LaRue Willis""]",visa free countries list for pakistani passport holders
"[""September 26, 2017""]",last us president to serve more than two terms
"[""2000""]",who is the voice of aurora in sleeping beauty
"[""Emmanuel Macron""]",who is peter from guardians of the galaxy father
"[""Men in Black""]",when did manchester united win the uefa super cup
"[""Team Leader (TL)""]",mountain ranges can uplift on these types of faults
"[""the ice cap polar climate""]",the line joining points of equal elevation is known as
"[""Betsy Sodaro""]",what episode of grey's does addison go to la
"[""Miguel Cabrera""]",who prayed for saul to regain his sight
"[""other endeavours""]",when is the new christopher robin movie coming out
"[""1.000""]",who won the national championship last year in college football
"[""St. Louis Cardinals"",""San Francisco Giants""]",when did little rock become the capital of arkansas
"[""June 16, 2017""]",who has the largest standing army in the world
"[""1981""]",where was rambo first blood part 2 filmed
"[""horses""]",who died in the plane crash in greys anatomy
"[""Atlanta–Fulton County Stadium""]",who plays haley on mozart in the jungle
"[""35""]",when was the subway in new york built
"[""Zone Improvement Plan""]",when did the ussr agree to a unified germany inside of nato
"[""Post Alley""]",who won the presidential election in new hampshire in 2016
"[""The Ganges-Brahmaputra Delta""]",where is denali national park located in alaska
"[""2005""]",who directed the oscar winning film 'the piano' in 1993
"[""Betsy Sodaro""]",when was the black eyed peas band founded
"[""1988""]",what kind of economic system china has at present
"[""Samuel Beckett""]",how many seasons of eric and jessie are there
"[""Australia""]",who holds journalists responsible for the code of ethics
"[""NBC""]",who starred in the silence of the lambs
"[""Greek""]",what is it called when no one wins at tic tac toe
"[""10""]",when did postage stamps go up to 50 cents
"[""helium nuclei""]",where was the world's first commercial natural gas well drilled
"[""32""]",when does dragon ball super 130 air date
"[""1981""]",who did janet jackson play on good times
"[""about 4.54 billion years ago""]",when was the cleveland browns last winning season
"[""2024""]",when was the us national park system established
"[""AD 80""]",who won the most grammys in the world
"[""Samuel Beckett""]",scarlets first love in gone with the wind
"[""fertilization""]",what is the primary constituent of venus’s atmosphere
"[""enzymes""]",who was the president of the constitutional convention
"[""enzymes""]",where did tradition of easter bunny come from
"[""115 years, 301 days""]",who has the highest approval rating for president
"[""$128,400""]",who won the first season of the voice
"[""Thurl Ravenscroft""]",when is series 3 of 800 words being aired
"[""Jason Michael Lee""]",what are the two symbols on the patriots field
"[""2010""]",where is the first buc ee's located
"[""Gayla Peevey""]",who has held the office for chief minister for the longest time
"[""Sam Manekshaw""]",which country gifted the statue of liberty to the united states of america
"[""A mood swing""]",when did the dominion of canada become canada
"[""1998""]",what was one cause of the decline of the byzantine empire
"[""1974""]",how many episodes does season 7 game of thrones have
"[""$128,400""]",when was the last time kobe was in the playoffs
"[""James Arthur""]",what are the names of the 7 deadly sins
"[""William Strickland""]",who plays the voice of creek on trolls
"[""Cambridge""]",who began the mass printing of bibles five centuries ago
"[""Bill Medley"",""Jennifer Warnes""]",how many branches does yorkshire building society have
"[""Nathan Mack""]",the keiretsu tradition in japan serves as a
"[""Miguel Cabrera""]",when was the office of personnel management established
"[""ArmaLite Rifle""]",who's the best selling female artist of all time
"[""video editing""]",who is running for us senate from michigan
"[""horses""]",the involuntary movement of the bolus through the digestive system is known as
"[""Arunachal Pradesh""]",which side of the heart is the tricuspid valve
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",what is the base of a snowboard made of
"[""Jonathan Richman""]",where did most of the fighting take place in the war of 1812
"[""Gallery""]",who plays mrs potts in the new beauty and the beast movie
"[""Flag Day in 1954""]",where were the commonwealth games held in 2014
"[""in 2018""]",when did i can only imagine become a hit
"[""2010""]",what are the five steps of the grieving process
"[""Eddie Cantor's radio show""]",name of the current chairperson of rajya sabha
"[""Kevin Phillips""]",who won season eight of britain's got talent
"[""312""]",when did galway last win all ireland hurling final
"[""Joseph Smith""]",when did little rock become the capital of arkansas
"[""pyramidion""]",what's the bottom part of your leg called
"[""5,000 to 1""]",when does an occurrence at owl creek bridge take place
"[""Jimmy Yeary"",""Jessi Alexander"",""Connie Harrington""]",grey's anatomy when does izzie get cancer
"[""5,000 to 1""]",where does the first fast and furious take place
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who played sunny in law and order svu
"[""1981""]",where is the final of u17 world cup
"[""$128,400""]",who is playing alfs wife martha in home and away
"[""71%""]",who was the secretary general of the united nations
"[""horses""]",when did the british east india company gain control over india
"[""$128,400""]",who played drums on peg by steely dan
"[""March 9, 2018""]",when does dragon ball super 130 air date
"[""April 9, 2018""]",who is the actor who plays diego on younger
"[""Madhubala""]",how many episodes of broad city in season 4
"[""35""]",who is the only second vice president of india to have worked under three different president
"[""impermanence"",""unsatisfactoriness or suffering"",""non-self""]",when is halley's comet coming around again
"[""February 4, 1948""]",what is the last season of being mary jane
"[""William Strickland""]",when is season 5 of steven universe coming out
"[""2005""]",when did astros last go to world series
"[""PewDiePie""]",when was congress supposed to meet according to the original constitution
"[""1 1/2\""""]",when does kanye and kid cudis album come out
"[""13,327""]",who plays miranda sings in haters back off
"[""December 16, 2009""]",who wrote blake shelton's song she's got a way with words
"[""Bill Medley"",""Jennifer Warnes""]",who came up with the basis of modern atomic theory
"[""December 1, 1969""]",when was earth wind and fire september released
"[""China""]",where is the most of the iodine in the body concentrated
"[""pyramidion""]",where did adam lambert go to high school
"[""35""]",what episode of the office does dwight saves jim from roy
"[""1998""]",when did nepal got temporary membership of un security council
"[""Jess Walton""]",where are lymph nodes concentrated in the body
"[""Tallulah Belle Willis"",""Jodhi May"",""Scout LaRue Willis""]",who are the defending champions in the world cup
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",when did law and order first air on tv
"[""pyramidion""]",which country's head visit to pakistan first
"[""1981""]",when do college football recruits have to sign by
"[""Vivien Leigh""]",who wrote all i ever need is you
"[""redox reactions""]",when did look what u made me do come out
"[""NFC/NFL""]",when did star spangled banner became national anthem
"[""redox reactions""]",who sang the song i want a hippopotamus for christmas
"[""18""]",who sings the song ask me how i know
"[""Emma Thompson""]",who dies in batman v superman dawn of justice
"[""Amalie Arena in Tampa""]",when was the last time the new jersey devils made the playoffs
"[""enzymes""]",who played freddy krueger on nightmare on elm street
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who plays will's mother in will and grace
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who won the 2017 sultan azlan shah hockey championship organised in malaysia
"[""President of the Legislative Council""]",when did the chicago bears start playing at soldier field
"[""Marvin Gaye""]",when does the new show legacies come out
"[""Below the knee""]",who cut the ribbon on the sydney harbour bridge
"[""redox reactions""]",who sang we are making plans for nigel
"[""1967""]",how many episodes are in season 5 of wentworth prison
"[""Jack Vidgen""]",what is the name of the ae symbol
"[""1982""]",who was the first army chief of nepal
"[""1981""]",13 reason why season 2 episode 1 release date
"[""rose window""]",what breed was the turner and hooch dog
"[""Stephen Collins Foster""]",where does absorption take place in digestive system
"[""Suleiman I""]",who plays in the first nfl football game
"[""NBC""]",who starred in the silence of the lambs
"[""A mood swing""]",who was the first governor of reserve bank of india
"[""St. Louis Cardinals"",""San Francisco Giants""]",actor who played fez on that 70 show
"[""Season 4, Episode 8""]",when does the show night shift come on
"[""Esther Williams"",""Ricardo Montalban""]",who is luke air force base named after
"[""9""]",what metric unit is used to describe the mass of an object
"[""32""]",who were the first man to create apple computer
"[""Laaa"",""Larry Daley""]",how far is ames iowa from des moines iowa
"[""Félix Hernández""]",who invested in the green fresh patch pitch
"[""71%""]",who won the sahitya academy award 2017 in hindi language
"[""NFC/NFL""]",where does the tv show hometown take place
"[""12""]",what is the difference between minority and majority government
"[""AD 80""]",when is the next episode of lucifer released
"[""Eddie Cantor's radio show""]",what exit is cave city ky on i 65
"[""China""]",who plays the bank manager in mary poppins
"[""June 16, 2017""]",who played the original carole king in beautiful
"[""13""]",who does the voice for bob on puppy dog pals
"[""Spectre""]",when was iisc named to its current name
"[""later in pregnancy""]",who did we get the statue of liberty from
"[""Robin Sharma""]",who sings somewhere over the rainbow in you've got mail
"[""2017""]",when did one flew over the cuckoo's nest come out
"[""Yann Martel""]",when is the nba first regular season game
"[""Dr. Lexie Grey""]",how many sports are there in the 2018 commonwealth games
"[""71%""]",who acted in the original star is born
"[""Emmanuel Macron""]",what episode do they escape in prison break
"[""horses""]",where was the movie can't buy me love filmed
"[""35""]",what number is snorlax on the national pokedex
"[""impermanence"",""unsatisfactoriness or suffering"",""non-self""]",name 3 cities where the us capital was located
"[""68""]",who did the packers lose to in the 2016 playoffs
"[""8 July 2000""]",which country has the greatest loss of life in ww2
"[""China""]",who wins sugar ray leonard or floyd mayweather
"[""1962""]",who plays the sergeant. in full metal jacket
"[""Barbicide""]",who sang if i can't have you by the bee gees
"[""Jason Michael Lee""]",who wrote the song i d like to teach the world to sing in perfect harmony
"[""Below the knee""]",who played davenport in last of the summer wine
"[""Suleiman I""]",who presented the first top of the pops
"[""1962""]",twilight zone the mind and the matter cast
"[""The Ganges-Brahmaputra Delta""]",how many episodes of shetland series 3 are there
"[""1988""]",who has got the most subscribers on youtube 2018
"[""the ice cap polar climate""]",when does fear the walking dead season 4 come out
"[""Lieder""]",where does the last name hanes come from
"[""Gulf of Mexico""]",where did frasier go in the last episode
"[""March 2008""]",what is the largest state in america by size
"[""James Arthur""]",who played the opera singer in the fifth element
"[""\""Journey's End\""""]",who plays darla's mom on queen sugar
"[""Venice""]",what kind of animal is seen at the end of all mtm television productions
"[""Betsy Sodaro""]",what is the roller coaster capital of the world
"[""1969""]",who plays andrea's sister in the walking dead
"[""Shirley Mae Jones""]",when does season 5 of senora acero come out
"[""Robin Sharma""]",who came up with the 10 000 hour rule
"[""Jack Vidgen""]",when did the last episode of naruto shippuden air
"[""March 9, 2018""]",who wrote the influence of sea power upon history
"[""September 12, 2006""]",who wrote the song do you believe in magic
"[""May 1999""]",who sang this is the sound of the suburbs
"[""September 21, 2018""]",who played the beast in the live-action beauty and the beast
"[""Tinnitus""]",what was the supreme court reaction to the national industrial recovery act
"["", r""]",who plays randall's mom on if loving you is wrong
"[""Sykes""]",who sings in moana how far i'll go
"[""Nathan Mack""]",who was executed by firing squad in utah
"[""eastward, in prograde motion""]",when did no smoking in public places start
"[""July 16, 2017""]",when did the song burning love come out
"[""20""]",a list of all possible outcomes of an experiment is called​
"[""Liverpool""]",who is the actress that plays howard wolowitz mother
"[""Atlanta–Fulton County Stadium""]",the brandenburg gate in berlin marks what type of boundary
"[""Men in Black""]",who has the power to impeach civil officers
"[""April 9, 2018""]",movie about a train going around the world
"[""American singer Kehlani""]",the book that describes how christ fulfills the function of a priest is
"[""2017""]",when is series 4 of millie inbetween coming out
"[""AD 80""]",whos the green witch in once upon a time
"[""Belgium""]",how many seats of mqm in national assembly
"[""AD 80""]",when does episode 13 of handmaids tale come out
"[""Australia""]",when was the last time the dolphins were in the super bowl
"[""2000""]",who is the voice of the price is right
"[""20""]",who was sailing the titanic when it crashed
"[""1998""]",who does the voice for the geico gecko
"[""2005""]",where does the book because of mr terupt take place
"[""other endeavours""]",when was the last year the eagles went to the playoffs
"[""Democrats""]",how many episodes in series 7 of once upon a time
"[""Jason Michael Lee""]",who were the leaders of the battle of fort ticonderoga
"[""18""]",who is the most capped england football player
"[""Dr. Lexie Grey""]",what is the name of the bridge in prague
"[""fertilization""]",what language do they soeak in hong kong
"[""May 5, 1992""]",when did the black death occur in europe
"[""alternating current/direct current""]",who's running for the governor of california
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",when was the white house built what year
"[""Dr. Lexie Grey""]",when does the next avengers movie after infinity war come out
"[""April 28, 2017""]",where did the northern kingdom of israel worship
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",when did flint michigan's water become contaminated
"[""April 28, 2017""]",who holds the record for most free throws made in a row
"[""Eddie Cantor's radio show""]",the first permanent english colony in north america founded in may of 1607 was
"[""Dr. Lexie Grey""]",when did they stop making paint with lead
"[""2000""]",who is the big guy in happy gilmore
"[""helium nuclei""]",what beatles song did u2 cover on rattle and hum
"[""James Arthur""]",the man credited with founding the method and thus the father of modern acting is
"[""Vivien Leigh""]",who holds journalists responsible for the code of ethics
"[""1967""]",when did ginny weasley join the quidditch team
"[""2000""]",when does no man's sky next come out
"[""AD 80""]",who is the narrator in disappeared on id
"[""April 9, 2018""]",indian chief justice of international court of justice
"[""Tallulah Belle Willis"",""Jodhi May"",""Scout LaRue Willis""]",the iliad an account of the trojan war was written by
"[""2005""]",when was taylor swift's first album released
"[""5,000 to 1""]",who built eleanor from gone in 60 seconds
"[""Bernard of Chartres""]",who was in the crows nest when the titanic struck the iceberg
"[""Australia""]",who won gold in women's olympic hockey
"[""cut the South in two""]",when is the last time usa hosted olympics
"[""1984""]",when does season 15 of top chef start
"[""Dash""]",where does the last name ewing come from
"[""Jason Michael Lee""]",who plays donna on bold and the beautiful
"[""Sykes""]",the origins of the industrial revolution in england
"[""$128,400""]",when did the steel and aluminum tariffs start
"[""Betsy Sodaro""]",when did lionel messi score his first goal
"[""December 1, 1969""]",which subdivision of the pharynx is located directly behind the oral cavity
"[""10""]",when did scotland get knocked out of the world cup
"[""Jonathan Richman""]",when did california become a territory of the united states
"[""Yann Martel""]",who won the big ten conference in basketball
"[""2018""]",who sang the song the night begins to shine
"[""Arunachal Pradesh""]",when was the last time the navy went to war
"[""5,000 to 1""]",where do the kilchers from alaska the last frontier live
"[""8 July 2000""]",what language do they soeak in hong kong
"[""2005""]",who is the childhood prodigy who mastered the mandolin
"[""six""]",who plays nanny plum in ben and holly's little kingdom
"[""December 1, 1969""]",who wrote the original goldilocks and the three bears
"[""Greek""]",who has the right of way in international waters
"[""1988""]",who won the fights between ali and frazier
