question,answer
what is the most uneducated state in america,"[""Canada"",""United Kingdom"",""German Empire"",""British Empire"",""United States"",""Australia"",""France""]"
when did the harry potter movie come out,"[""Zazu""]"
an act of the legislature directly punishing a person or group is referred to as a​,"[""waistcoat""]"
by the year 2000 the largest number of legal immigrations to the united states came from,"[""the sex hormones"",""the external genitalia"",""the type of gonads""]"
who is the security general of the un,"[""65 years""]"
who wrote i will be home for christmas,"[""Prudential plc"",""Pakistan"",""India""]"
who governs in america’s representative democracy (republic) system,"[""loan default on mortgages""]"
who sang out of my head over you,"[""Marty Robbins""]"
actor who played tommy in terms of endearment,"[""The O'Jays""]"
when was harry potter and the deathly hallows part 2 movie released,"[""bill of attainder""]"
who sang vande maataram in 1896 congress session,"[""Lego tire"",""Lego""]"
who is covered by the right to financial privacy act,"[""Stacy Haiduk""]"
when the united states entered world war 1 it joined what powers,"[""May 24, 1989"",""May 24, 1989""]"
who sings now that we have love what are we going to do with it,"[""Morten Andersen""]"
when do meredith and derek get back together in season 2,"[""Canada"",""United Kingdom"",""German Empire"",""British Empire"",""United States"",""Australia"",""France""]"
who is covered by the right to financial privacy act,"[""July 8, 1997"",""Minneapolis, Minnesota"",""the Orpheum Theatre""]"
which branch of the us government makes federal laws,"[""ICP purchasing power""]"
which console to get red dead redemption 2,"[""the ear"",""the fruits"",""fruits"",""the fruits of corn""]"
by the year 2000 the largest number of legal immigrations to the united states came from,"[""Senators""]"
where was the lion king musical first performed,"[""provides region-free features""]"
who went home on the first week of dancing with the stars juniors,"[""2001"",""16 November 2001""]"
who sampled rick james give it to me baby,"[""Alan Freed""]"
what place did jennifer hudson get in american idol,"[""Spiccato""]"
in humans what determines the gender of the offspring,"[""1988""]"
what is the star sign for september 15,"[""Salzburg, Austria"",""Austria""]"
who decided what rights should be included in the convention on the rights of the child,"[""Pakistan""]"
who is considered to be the inventor of the prepared piano,"[""guidance"",""politeness"",""humility"",""modesty"",""leading""]"
who came up with the name rock and roll,"[""Cole Porter"",""Virginia Bruce""]"
the federal housing administration (fha) insures lenders against,"[""the sex hormones"",""the external genitalia"",""the type of gonads""]"
the man in the high castle who is he,"[""California"",""West Virginia""]"
field hockey is the national sport of which country,"[""tibia"",""fibula"",""shinbone""]"
kuchipudi is a dance form of which state,"[""bill of attainder""]"
who went home on the first week of dancing with the stars juniors,"[""Prudential plc"",""Pakistan"",""India""]"
when was the last time india won a gold medal in hockey at olympics,"[""Simona Halep""]"
what is the star sign for september 15,"[""Paxton Booth""]"
where was the eastern front located in ww1,"[""The Awakening""]"
when did rolex daytona stop using zenith movement,"[""1988"",""1943""]"
who governs in america’s representative democracy (republic) system,"[""Lego tire"",""Lego""]"
when did rolex daytona stop using zenith movement,"[""The Awakening""]"
who governs in america’s representative democracy (republic) system,"[""2013""]"
how many episodes are in one punch man season 1,"[""Council of Europe""]"
who sings this crazy little thing called love,"[""California"",""West Virginia""]"
how many episodes are in one punch man season 1,"[""\""Starry Night\"""",""Starry Night"",""\""Honesty Night\""""]"
when did indiana jones and the last crusade come out,"[""San Fernando Valley"",""The San Fernando Valley""]"
who is the main character in the labyrinth,"[""\""The Remorseful Day\"""",""The Remorseful Day""]"
who sings now that we have love what are we going to do with it,"[""Cole Porter"",""Virginia Bruce""]"
when did the harry potter movie come out,"[""Prudential plc"",""Pakistan"",""India and Pakistan"",""India""]"
who went home on the first week of dancing with the stars juniors,"[""waistcoat""]"
where was the eastern front located in ww1,"[""Spiccato""]"
what time period is a league of their own,"[""an information system"",""information"",""information system""]"
what can you do with custom firmware 3ds,"[""\""The Remorseful Day\"""",""The Remorseful Day""]"
who plays kristen dimera on days of our lives 2018,"[""The O'Jays""]"
who makes the most tires in the world,"[""signalman""]"
where did france colonize in the new world,"[""The United Nations""]"
which part of a corn plant would the kernels be,"[""1992""]"
which console to get red dead redemption 2,"[""\""Starry Night\"""",""Starry Night"",""\""Honesty Night\""""]"
what are the three types of wind turbines,"[""2016"",""summer in 2016"",""In 2016""]"
who plays ollie in coop and cami ask the world,"[""the sex hormones"",""the external genitalia"",""the type of gonads""]"
what was the last episode of inspector morse,"[""Mark""]"
by the year 2000 the largest number of legal immigrations to the united states came from,"[""António Guterres""]"
