hit it at the wrong angle and make it bleed.	pop it.	how do you puncture a vein?
Leave a cup of liquid soap in toilet overnight.	Leave a cup of bleach in toilet overnight.	Sanitize toilet bowls.
put a piece of foil under the food on the lower rack.	put a piece of plastic wrap under the food on the rack.	To avoid making a mess in the oven,
Turn off the light switch and wait some time for the bulb to cool down if necessary. If the bulb is on the ceiling, use a ladder if necessary. Place your fingers around the wide part of the bulb, and twist counter-clockwise until the bulb comes out.	Turn off the light switch and wait some time for the bulb to cool down if necessary. If the bulb is on the ceiling, use a ladder if necessary. Place your fingers around the wide part of the bulb, and twist clockwise until the bulb comes out.	How to remove a light bulb from a socket
put the clothes in the washer and put it on high heat to ensure they stay the correct size, and add a little bit of detergent as to not over saturate the clothes.	put the clothes in the washer on a delicate cycle with low heat and a good amount of detergent, press start on the washer.	how to wash delicate clothes
bring in a shelf system, and line the tent wall.	bring a hanging organizer, to store things.	how to create storage at the campsite
remove any nails and fill nail holes with spackling.	remove any nails and fill nail holes with vaseline.	To get your walls ready to paint,
Tape holiday lights to the wall in pattern of a tree.	Tape holiday treats to the wall in pattern of a tree.	Celebrate Christmas without room for a tree.
can be melted down into a love 	can be melted down into a trophy 	penny
Can be wiped on razor If they are wet	Can be wiped on sleeve If they are wet	eyes
can be put in rock so the water flows nicely	can be put in watering can so the water flows nicely	coin
-wreath base (I used a stick wreath base)        -flowers and or succulents to put on the wreath (you don't have to fully cover the wreath, you can just cover it partially instead.        -doily        -scissors        -stretch magic or other invisible string         -objects to hang off the wreath .        -string to tie these objects to the wreath. it needs to be able to hold these objects weight without breaking. I used jute stringing.        -hot glue gun and hot glue sticks (gluing the flowers/succulents to the wreath0        -wire cutters to cut the flowers and succulents down        -colored nail polish         -optional: wreath hanger to display your wreath when you are done	-wreath base (I used a stick wreath base)        -flowers and or succulents to put on the wreath (you don't have to fully cover the wreath, you can just cover it partially instead.        -doily        -scissors        -stretch magic or other invisible string         -objects to hang off the wreath .        -string to tie these objects to the wreath. it needs to be able to hold these objects weight without breaking. I used jute stringing.        -hot glue gun and hot glue sticks (gluing the flowers/succulents to the wreath0        -wire cutters to cut the flowers and succulents down        -clear nail polish         -optional: wreath hanger to display your wreath when you are done	What supplies are needed to make a dream catcher wreath?
For a large house, about 10 plants, for a normal gingerbread house about 5-7, and for a small house 3-5	For a large house, about 10 plants, for a normal house about 5-7, and for a small house 3-5	How many plants do I need to purify the air in my house
Many people use a pinched grip like they are holding a pencil or throwing a dart. You have much more control if you hold razor in between the handle and razor. In most circumstances try to hold the handle between you middle and pointer finger while steadying the blade with your thumb. Getting behind the neck can be tricky and you may have to modify your grip.	Many people use a pinched grip like they are holding a pencil or throwing a dart. You have much more control if you hold razor in between the handle and razor. In most circumstances try to hold the handle between you middle and pointer finger while steadying the blade with your thumb. Getting behind the ears can be tricky and you may have to modify your grip.	To hold a razor blade properly for shaving.
run away with the guy and marry him without anyone else knowing.	marry the guy and then run away with him after the wedding.	how do you elope?
Place coffee filter over flash.	Place napkin over flash.	Reduce flash from a camera.
use a fly swatter, wait till it lands, and swat it.	use a fly swatter, wait till it flies, and swat it.	To catch and kill a fly successfully,
Add 35 drops of blue food coloring and 20 drops of red food coloring to white icing.  Mix thoroughly before spreading on cake or cupcakes.	Add 35 drops of yellow food coloring and 20 drops of red food coloring to white icing.  Mix thoroughly before spreading on cake or cupcakes.	How do I make orange icing if I have store-bought white frosting?
Use window cleaner.	Use rubbing alcohol.	Clean electronics without leaving moisture.
mix together 1 1/2 cups cornstarch, 1 cup white school glue, 1 T white vinegar, 1 t. lotion, and 1T baby oil. Mix and knead until the desired consistancy.	mix together 1 1/2 cups cornstarch, 1 cup white school glue, 1 T white flour, 1 t. lotion, and 1T baby oil. Mix and knead until the desired consistancy.	how can I make DIY air dry clay for crafts?
Using an electric knife with the blade pointed away from the bird, slice thin slices of turkey breast.	Using an electric knife with the blade pointed toward the bird, slice thin slices of turkey breast.	Carve a Thanksgiving turkey.
can hold a paper to a wall	can hold a television to a wall	push pin
Use baby oil under handles.	Use baby wipe under handles.	Prevent grime under sink handles.
From a sitting position tell your dog "down" as your lure nose down to ground with treat then pull treat away somewhat and to follow dog will lay down, immediately say "good down" and reward.	From a sitting position tell your dog "down" as your lure nose down to ground with treat then pull treat away somewhat and to follow dog will lay down, immediately say "good down" and do not reward.	How to teach your dog down.
rub your fingers on stainless steel, like your toilet, to get rid of the odor.	rub your fingers on stainless steel, like your sink, to get rid of the odor.	how to remove garlic odors from hands
push the tip pf the pen into the filter of your cigarette and lit the cigarette	push the tip pf the pen into the filter of your cigarette and rotate 10 to 20 times	to clean the tip of the ballpoint pen
soak your hair in vinegar and lemon juice and then sit in the sun.	soak your hair with water and baking soda before rinsing it out.	To bleach your hair without using bleach,
Get ice cream in a bowl, add some cream cheese, nuts, and caramel drizzle	Get ice cream in a bowl, add some whipped cream, nuts, and caramel drizzle	How do I make an ice cream sundae
Find the piece you wish to refinish and take a picture of it then once you are finished take a picture of the finished product and then place them side by side	Find the piece you wish to refinish, refinish the piece and take a picture of the finished product and then find a similar picture online of the before and then place them side by side.	How to showcase a before and after of your project.
Press 3 corners down to create a seal and a small opening.  Press down in the middle to push out as much air as possible and then press down on the 4th corner.	Press 3 corners down to create a seal and a large opening.  Press down in the closed side to push out as much air as possible and then press down on the 4th corner.	How do you close a tupperware container?
Can hold more than foil 	can crush  foil 	plastic wrap
Click on the window you would like to capture.    Press Ctrl + Print Screen (Print Scrn) by holding down the Ctrl key and then pressing the Print Screen key. ...    Click the Start button, located on the lower left-hand side of your desktop.    Click on All Programs.    Click on Accessories.    Click on Paint.	Click on the window you would like to capture.    Press Ctrl + Print Screen (Print Scrn) by holding down the Ctrl key and then pressing the Print Screen key. ...    Click the power button, located on the lower left-hand side of your desktop.    Click on All Programs.    Click on Accessories.    Click on Paint.	use print screen
It is best if a skate board has four wheels to provide balance and traction.	It is best if a skate board has one wheel to provide balance and traction.	How many wheels should a skate board have?
can be used to make a swimming pool 	can be used to make a pie 	back hoe
Tape the letter on the book cover with a measuring tape.	Tape the letter on the book cover with masking tape.	How do I fix the paper letter to the cover of the book ?
Place garlic in woven basket under cabinet.	Place garlic in trash bag under cabinet.	Increase shelf life of garlic.
Use watered down chalk paint to allow distress marks to show.	Use house paint to allow distress marks to show.	To allow distress marks to show through the paint on the pallet board.
This pie crust can be a little crumbly, so I suggest taking it out of the oven about 10-15 minutes before you want to roll it out. If it's too cold, it will crack quite a bit around the edges as you roll it out.	This pie crust can be a little crumbly, so I suggest taking it out of the fridge about 10-15 minutes before you want to roll it out. If it's too cold, it will crack quite a bit around the edges as you roll it out.	To keep pie crust dough from cracking as you roll it out.
can be used for diamonds 	can be used for potato mashing 	rocks
Blot the excess of the stain gently, being careful not to rub it into the fibers. Apply rubbing alcohol, hairspray, or hand sanitizer to dilute the stain, making it easier to remove during the wash	Blot, then scrub with a heavy hand and a washcloth, being careful not to rub it into the fibers. Apply rubbing alcohol, hairspray, or hand sanitizer to dilute the stain, making it easier to remove during the wash	Remove an ink stain
cook the cookies together in a pan of hot oil.	cook the cookies inside of muffin tray slots.	To prevent cookies from running into each other,
To do this, click on the icon with torch to enable the application to run.	Drop down the screen and click on the torch button.	To turn on torch in a smart phone.
Using a bandsaw power the machine off and push your bamboo through the machine until you have cut off the top piece that is to be discarded and you are pleased with the cut angle on bottom piece.	Using a bandsaw power the machine on and push your bamboo through the machine until you have cut off the top piece that is to be discarded and you are pleased with the cut angle on bottom piece.	How do I cut a desired angle in the bamboo?
Use your hands to firmly press the sprinkles onto the sides of the cake- put a small pile of sprinkles on the top of the cake and spread them evenly out to the sides.	Use your hands to gently press the sprinkles onto the sides of the cake- put a small pile of sprinkles on the top of the cake and spread them evenly out to the sides.	How to put sprinkles on a cake.
use potato masher,  crush really well, to resemble dirt	use  potato masher,  slightly crush, to resemble dirt	To crush the oreos for the graveyard  for dirt
Take the tire off bring it in the house and throw it in the tub so you can scrub it with the fantastic spray cleaner.	Scrub them with the toothbrush and comet cleanser.	How to clean the white wall tires.
can be slid using  foot across the floor	can be slid using  rubber band across the floor	baking sheet
tell them what types of things you're into.	ask for more attention from them at times.	To convince your husband to be more romantic,
Eating a teaspoon of sugar will neutralize the heat.	Eating a teaspoon of pepper will neutralize the heat.	To neutralize spicy foods.
put padding inside shoe	use maxipads	make shoes stop hurting
Tackle the opponent before they reach your end zone.	Tackle the opponent in their own end zone	How do you score a safety in football?
The pumpkin roll cake recipe is really easy to make and it perfect for the fall season, or any season really, especially if you like pumpkin!	The pumpkin roll cake recipe is really easy to make and it perfect for the summer season, or any season really, especially if you like pumpkin!	What are some tasty fall desserts to make?
Stick a toothpick in the cupcake. If the toothpick comes out clean, the cupcake is done.	Stick the handle of a fork or spoon in the cupcake. If it comes out clean, the cupcake is done.	When baking cupcakes, how can I tell if the cupcake is done in the middle.
Use rocks and twigs to fill poncho bed.	Use leaves and pine needles to fill poncho bed.	Make an outdoor mattress.
On Google, search the key words for the bursary then click the link and follow the instructions contained there.	Type the bursary type and click the link related to it then follow instructions on the application procedures required.	To apply for government bursary.
Use a fork or your fingers to mash the coloring into the sugar	Use a toothpick or your elbows to mash the coloring into the sugar	To mix food coloring with sugar, you can
is lighter than a  paperweight sometimes	is lighter than a  hose sometimes	shovel
Cut one cup of bra to cover mouth.	Cut one strap of bra to cover mouth.	Make a face mask.
put some mouthwash into your mouth, and gargle it around for a minute. then, add water to your mouth and gargle some more. spit it all out. then put some more water in your mouth and gargle one last time, then spit it out.	put some water and mouthwash into your mouth.	how do you rinse your mouth?
peel desired number of bananas and place the peels in a bowl. Use a fork or potato rices to smash the bananas until they are smooth	peel desired number of bananas and place in a bowl. Use a fork or potato rices to smash the bananas until they are smooth	Mash bananas for banana bread
Gum	Tape	What sort of substance can be used to hold the pieces of a DIY project together?
Dig a hole about 6 feet deep in your backyard. Place the dog's body into a pine box and nail it shut, then place the box into the hole. Say some kind words about the dog, then fill the hole with dirt.	Dig a hole about 6 feet deep in your backyard. Place the dog's body into a pine box and nail it shut, then place the box into the hole. Say some kind words about the dog, then leave the hole open.	Give a funeral to a deceased dog
After you have shampooed and washed you hair through keep your hair damp. Grab a bowl and put about 4 tablespoons of honey and then mix in a few drops of castor oil. Once that's mixed, take your immersion blender, and mix in a few cups of freshly brewed coffee, and lighten with a bit of creamer. When you feel you’ve applied enough put a small amount of your regular conditioner in your hair and rub in while you do this add the honey and castor oil mix. Put your hair in a shower cap and leave your hair mask to soak into the scalp for 20 minutes. If you have a hair steamer this will help open your hair pores. Once you have let your scalp soak up the ingredients, wash the hair mask out.	After you have shampooed and washed you hair through keep your hair damp. Grab a bowl and put about 4 tablespoons of honey and then mix in a few drops of castor oil. Once that's mixed, release your hair from the shower cap/towel/ bun and pour a few drops of peppermint oil in palm of your hand. When you feel you’ve applied enough put a small amount of your regular conditioner in your hair and rub in while you do this add the honey and castor oil mix. Put your hair in a shower cap and leave your hair mask to soak into the scalp for 20 minutes. If you have a hair steamer this will help open your hair pores. Once you have let your scalp soak up the ingredients, wash the hair mask out.	How to Make a Stimulating Hair Mask
Make each side exactly the same.	Add reference lines to each side in the design.	When making a two-sided mold, how do I make sure both sides are lined up with each other?
Take a wide taping knife and paint a wide skim coat over the hole. Let it dry.	Take a wide taping knife and paint a wide skim coat over the hole. Let it moisten.	What do I do after muding and taping the seams when patching a hole in drywall?
you need to pierce the wall by hitting it with the butt of a screwdriver and then pass a hook in the hole to hold the painting.	you need to drill a hole in the wall, hammer in a nail anchor followed by a nail and hang the painting with a string on the nail.	To hang a painting on the wall,
Place a dish cloth over the bowl for fifteen minutes.	Place a dish cloth beside the bowl for fifteen minutes.	How can I steam roasted chestnuts?
Use zip ties to firmly affix the wood in place on the pallet	Use nails to firmly affix the wood in place on the pallet	To attach smaller pieces of wood to a pallet, you can
fits inside of vise grip 	fits inside of video 	highlighter
Decide on your desired shape for the cake, bake your cake and cut it into the desired shape, then frost and decorate.	Decide on your desired shape for the cake, frost and decorate the cake, then bake it and cut it into the desired shape.	How to create a portal cake.
Bake egg shells at 350 degrees for 8 minutes, then grind into fine powder.	Bake egg shells at 350 degrees for 38 minutes, then grind into fine powder.	Create powdered calcium supplement.
Before finishing the pants by sewing the lower hems and inserting the ribbons it is best to sew all the side hems. Flap the edge over and stitching along the seam.	Before finishing the pants by sewing the upper hems and inserting the ribbons it is best to sew all the side hems. Flap the edge over and stitching along the seam.	How to finish the hem of your pants?
Hammer several nails all the way into a block of wood.	Lay several nails all the way around a block of wood.	To make a nail inlay in blocks of wood.
Spray WD-40 on pole to make it slippery.	Spray water on pole to make it slippery.	Protect bird feeders from squirrels.
Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.	Place the clay sticks onto a baking sheet and bake at 350°F for one minute.	How do you bake small polymer clay sticks to make clay sprinkles?
toast 2 frozen whole-wheat waffles. Spread one with peanut butter and the other with beef jerky. Sandwich together.	toast 2 frozen whole-wheat waffles. Spread one with peanut butter and the other with jelly. Sandwich together.	how to make waffle pb&j
Navigate through the requirements of an email fill them then send to the recipient who the email was intended to.	Sign in to Gmail account then click on the compose button, fill the requirements then press send button.	To send an email in GMAIL.
install hardwood with a very comfortable pad under it.	install carpet with a very comfortable pad under it.	To make your floors more comfortable to walk on,
Remove the Door Panel. There are five screws in my front driver's side door panel, two plastic and three metal. ...    Disconnect the Window From the Motor. ...    Access and Disengage the Motor. ...    Reconnect the Window With the Motor and Raise. ...    Replace the Door Panel.	Remove the Door Panel. There are five screws in my front driver's side door panel, two plastic and three metal. ...    Disconnect the Window and connect it to the washer fluid    Access and Disengage the Motor. ...    Reconnect the Window With the Motor and Raise. ...    Replace the Door Panel.	how can I raise a car window manually
stop it.	start it.	how do you counteract on something?
Use a file with a grit of 200, rub the file on the rough part until it feels smooth.	Use a file with a grit of 200, hit the rough part with the file until it feels smooth.	How do I smooth the headphone after the headband was removed ?
load a shotgun with a shotgun shell, tell the thrower you are ready, then track the target and shoot it while it is in the thrower.	load a shotgun with a shotgun shell, tell the thrower you are ready, then track the target and shoot it while it is in the air.	To shoot skeet,
Aim a hair dryer at the sticker residue, turn it on and then back off quickly, and allow the hot air to loosen the adhesive.	Aim a hair dryer at the sticker residue, turn it on, and allow the hot air to loosen the adhesive.	how do I get a sticker off of plastic?
Cover a beverage with wet paper towels and place it in the freezer.	Cover a beverage with dry dish towel and place it in the fridge.	How to get a room temp beverage cold faster
add ice to it.	remove ice from it.	To make your beverage cold,
protecting from rain 	protecting from wind 	walls
Whisk 2 teaspoons each honey and dijon mustard, 2 tablespoons lime juice, and 1/2 teaspoon each lime zest and kosher salt. Gradually whisk in 1/4 cup each olive oil and vegetable oil, then add 2 teaspoons chopped pineapple and 1/2 minced jalapeno.	Whisk 2 teaspoons each honey and dijon mustard, 2 tablespoons lime juice, and 1/2 teaspoon each lime zest and kosher salt. Gradually whisk in 1/4 cup each olive oil and vegetable oil, then add 2 teaspoons chopped thyme and 1/2 minced jalapeno.	make spicy honey mustard
is larger than a person 	is larger than an ant 	butter knife
Brown and white sugar	Brown and salt sugar	What types of sugar should be used when making pumpkin liqueur?
Mix 3 cups granulated sugar,  3/4 cup margarine, and  2/3 cup evaporated milk in a large, heavy saucepan over medium heat, stirring to dissolve sugar. Bring mixture to a full boil for 5 minutes, stirring constantly.  Remove from heat and stir in 12 ounce bag of white chocolate chips until thoroughly combined. Beat in 1 7 ounce jar of marshmallow creme, 1/2 cup Maple syrup, and 3/4 cup chopped granola, 2 cup rice noodles and 1 teaspoon vanilla extract.  Transfer fudge to Greased 8 x 13" pan and let cool before cutting into squares.	Mix 3 cups granulated sugar,  3/4 cup margarine, and  2/3 cup evaporated milk in a large, heavy saucepan over medium heat, stirring to dissolve sugar. Bring mixture to a full boil for 5 minutes, stirring constantly.  Remove from heat and stir in 12 ounce bag of white chocolate chips until thoroughly combined. Beat in 1 7 ounce jar of marshmallow creme, 1/2 cup Maple syrup, and 3/4 cup chopped granola, 1/2 cup rice crispies and 1 teaspoon vanilla extract.  Transfer fudge to Greased 8 x 13" pan and let cool before cutting into squares.	How to make white  Chocolate maple Crunch at home.
see the people in the audience.	hit the wall behind the audience.	how do you break the fourth wall in a play?
You should check on the BBQ every 45 minutes to make sure it remains between 225-350° F.	You should check on the BBQ every 45 minutes to make sure it remains between 225-350° C.	At what temperature should you keep a BBQ when smoking food in a kettle BBQ?
plan out the size and shape of things while cutting everything.	plan out the size and shape of things before cutting anything.	To make a Bathroom access storage,
can clean paint 	can clean papers 	sand paper
Put a little bit of water on a piece of bologna to make it a bit damp and press it on the floor where the remaining fragments are. The glass will embed in the bologna without the danger of cutting your fingers or feet in the process.	Put a little bit of water on a piece of bread to make it a bit damp and press it on the floor where the remaining fragments are. The glass will embed in the bread without the danger of cutting your fingers or feet in the process.	To pick up pieces of broken glass without getting cut.
Pour the wet ingredients into the dry ingredients. Stir until a liquid dough is formed.	Pour the wet ingredients into the dry ingredients. Stir until a loose dough is formed.	How do I combine wet and dry ingredients when making garlic naan?
Using sealant from a headlight restorer kit seal the plastic solar cell from moisture.	Using sealant from a headlight restorer kit seal the plastic solar cell from light.	Restore plastic solar cells so they will hold a charge
Install the LED lights on the bike frame.	Install the flashlight on the bike frame.	Where to install LED lights on your bike for greatest visibility by drivers?
Boil 2 cups blackberries, with 1 cup water and  1 cup sugar for 30 min., stirring to keep from scorching over med. heat on the stove top.	Boil 2 cups blackberry leaves, with 1 cup water and  1 cup sugar for 30 min., stirring to keep from scorching over med. heat on the stove top.	How to make Blackberry syrup at home.
place in a steam basket of a double boiler.	microwave on high for ten minutes, and then wrap in a paper towel.	how to soften day old bread?
Boil 2 cups Cranberries, Fresh or frozen, 1 tbsp. lemon juice  with 1/2 cup water and  3/4 cup sugar for 30 min., stirring to keep from scorching over med. heat Underneath the Stove top.	Boil 2 cups Cranberries, Fresh or frozen, 1 tbsp. lemon juice  with 1/2 cup water and  3/4 cup sugar for 30 min., stirring to keep from scorching over med. heat on the Stove top.	How to make fresh Cranberry syrup at home.
Put desired amount of eggs in a sauce pan and add enough water to cover the eggs. Put on a high heat and let the water come to boil. Continue to cook for 4 minutes. Remove from heat and using a slotted spoon take the eggs out of water.	Put desired amount of eggs in a sauce pan and add enough water to cover the eggs. Put on a high heat and let the water come to boil. Continue to cook for 40 minutes. Remove from heat and using a slotted spoon take the eggs out of water.	How to make soft boiled eggs?
hold it against something.	hold it under something	how do you pin something?
turn on your lights when you are not at home.	turn off your lights when you are not at home.	To conserve electricity,
It is better to use hard paper, as it is easy to work with and shape, while still provides a stable form to it.	It is better to use hardwood, as it is easy to work with and shape, while still provides a stable form to it.	What material is good to make Origami Shuriken?
Take the pieces for the sides of the backpack using a rake punch to punch the holes then sew to the front and back pieces of the backpack	Take the pieces for the sides of the backpack using a drill to punch the holes then sew to the front and back pieces of the backpack	Sewing sides for the backpack
Place some sausage links in a pot and cover with an inch of water. Simmer for ten minutes or until firm. Allow to cool before serving with side dishes and sauces.	Place some sausage links in a pot and cover with an inch of water. Simmer for ten minutes or until soft. Allow to cool before serving with side dishes and sauces.	How to cook raw sausages
speak without thinking very quickly.	speak very quickly	how do you blurt something out?
kindling works better than stick kindling.	building is good compared to  stick building.	brick
On the keyboard, press control key then the v key to copy the data easily.	Right click on the mouse and drag over the area you want to copy from.	To copy data on  a laptop.
removing pen marks safely	removing pencil marks safely	pencil eraser
wipe ice cream scoop 	replace ice cream scoop to scoop ice cream	napkin
clean surfaces entirely	clean dirt entirely	wash cloth
You can add lubrication to the zipper teeth using chapstick, crayon wax, petroleum jelly, and other waxy products or lubricants.	You can add lubrication to the zipper teeth using chapstick, crayon wax, petroleum oil, and other waxy products or lubricants.	How do you lubricate plastic zippers?
shine a flashlight at your hands, while making shapes, and direct it at the wall.	cut out pieces of black paper in various shapes and then tape those to the wall.	To make shadow puppets,
can crush pistachios 	can crush a marble ball 	teeth
Once you acquire the racks, bolt them into a region in the garage which is above where cars and other furniture are so they are stowed above and not on the floor	Once you acquire the racks, bolt them into a region in the garage which is level with cars and other furniture are so they are stowed on the floor and not above	How to use bike racks to take up less space in a garage?
Add sticks, rocks, and dirt into water in glass jar.	Add sticks, fruits, and herbs into water in glass jar.	Make a room smell diffuser.
purchase a Kindle and download many books for free, or at a huge discount.	purchase a Fitbit and download many books for free, or at a huge discount.	To save money on books,
You need something that you can lay flat on a piece of fabric, that you can cut sharp lines into, and that won't let paint seep through. For example, you can use a putty knife and cut your design into tissue paper.	You need something that you can lay flat on a piece of fabric, that you can cut sharp lines into, and that won't let paint seep through. For example, you can use a razor knife and cut your design into card stock paper.	What can I use as a stencil in order to spray paint a design onto fabric?
Place chair outside on the lawn or empty driveway on top of newspapers.  Keep all objects clear of spray area, especially downwind.  Wear mask and spray chair from all angles.  Let dry.	Place chair outside on the porch or front entryway on top of newspapers.  Keep all objects clear of spray area, especially downwind.  Wear mask and spray chair from all angles.  Let dry.	Spray paint old chair without making a mess.
A sheet of plastic	A sheet of paper	The main material you need to make a 3d birthday card is:
place a slice of ham and a slice of turkey between two slices of bread.	place a slice of ham and a slice of turkey on top of one slice of bread.	To make a ham and turkey sandwich,
When the bowl of yeast and milk is foamy, it is ready. If it doesn't foam up after 10 minutes, start over because the yeast was probably bad.	When the vegetable peeler of yeast and milk is foamy, it is ready. If it doesn't foam up after 10 minutes, start over because the yeast was probably bad.	How do I know if my yeast is ready when making croissants?
Sprinkle salt on carpet every nine days and vacuum every third day to kill flea eggs.	Sprinkle sugar on carpet every nine days and vacuum every third day to kill flea eggs.	Remove flea infestation from carpet.
save money up for the whole year until it is time to spend it.	spend less money of bills and food so you have more for gifts.	To have plenty of money to spend in the holiday season,
You will need a cutting board, a food processor, an oven, parchment paper, cookie sheets, spatulas, stand mixers and a pizza cutter.	You will need a cutting board, a food processor, an oven, parchment paper, cookie sheets, spatulas, stand mixers and a melon baller	What tools do I need to make a cherry cheesecake twist?
Wash them in a load with milk and no colors.	Wash them in a load with bleach and no colors.	How do I clean my white pillow cases and sheets?
spray a degreaser along the sill, then put a cloth on a flat head screwdriver, and run along the window.	spray a degreaser along the sill, then put a piece of mesh screenon a flat head screwdriver, and run along the window.	how to clean window sills
If you are cutting potatoes but don't want to use them immediately, store them in pickle brine so they don't turn black	If you are cutting potatoes but don't want to use them immediately, store them in water so they don't turn black	how to keep cut vegetables from browning
Make Pasta with Garlic Oil, cooking 4 chopped anchovies and the grapefruit sorbet and juice of 1 lemon with the garlic. Use 4 broken dried chiles de arbol instead of red pepper flakes.	Make Pasta with Garlic Oil, cooking 4 chopped anchovies and the zest and juice of 1 lemon with the garlic. Use 4 broken dried chiles de arbol instead of red pepper flakes.	how to make garlic lemon pasta
stop the bleeding by applying pressure, wash the scrape with soap and water to remove dirt and germs, dress the wound with antibiotic ointment, and cover with a band-aid.	stop the bleeding by applying pressure, wash the scrape with soap and water to remove dirt and germs, dress the wound with antibiotic tablets, and cover with a band-aid.	To treat a scrape or abrasion,
using your fingers, make small pinches going around in a circle along the edge.	using your fingers, lay the top pie crust over the bottom crust without pinching the edges together.	To connect the edges of the pie crust,
Take a piece of string that will be braided into the bracelet and wrap it around the wrist then add 2 inches on the beginning and the end of the thread in order to be able to tie the bracelet.	Take a piece of string that will be braided into the bracelet and wrap it around your waist then add 2 inches on the beginning and the end of the thread in order to be able to tie the bracelet.	How do I measure how long to make a friendship bracelet?
mix 2 cups of borax with one cup of sugar in a quart jar. Punch holes in the lid and sprinkle around the outside of your house.	mix 2 cups of Cheerwine soda with one cup of sugar in a quart jar. Punch holes in the lid and sprinkle around the outside of your house.	how to make a homemade ant killer
slowly pour granulated sugar into the whipped egg whites, and mix with a fork until the sugar is dissolved and there is no graininess.	slowly pour granulated sugar while continuously whipping the whites, until the sugar is dissolved and there is no graininess.	To sweeten whipped egg whites,
A good way to clean the surface of the glass is with alcohol.	A way to clean the surface of the glass is with sand and water	How do you clean the surface of the glass?
The best way to prune plants is to carefully place a prune on any areas which are growing too quickly.	The best way to prune plants is to carefully cut off any areas which are growing too quickly.	What is the best way to prune plants?
You cut out a small felt triangle and use a hot glue gun to create a cone shape.	You take a piece of fabric and make a triangle and stick it on the gnome's head.	How do you make a DIY garden gnome hat?
put a jacket on.	hold yourself tightly.	how do you stop shivering from being cold?
