id,question,choices,answerKey
42,A hillside along a highway has exposed layers of undisturbed sedimentary rock. Which method would be best for scientists to use to determine the relative age of these sedimentary rock layers?,42,A
43,"Sodium (Na) and chlorine (Cl) combine to form sodium chloride (NaCl), which is commonly known as",43,A
44,"Mitosis occurs in living things when a cell divides to produce two cells. Compared to the original cell, how many chromosomes are in each of the resulting cells?",44,B
45,The digestive system breaks food into simple substances that the body can use. What system carries these simple substances from the digestive system to other parts of the body?,45,A
46,Which of these groups contains single-celled organisms?,46,B
47,"A student poured some sugar into a glass of water. After the water was stirred, no solid sugar remained in the glass. Which statement best describes what happened?",47,B
48,During which process does a caterpillar become a butterfly?,48,B
49,The mathematical model for calculating speed is shown below. Speed = distance/time. An airplane traveled 700 kilometers in two hours during a trip. What was the average speed of the plane during the trip?,49,D
50,Living organisms require energy for biological processes. Chemical energy in a plant cell is,50,B
51,"When a dog smells food and begins drooling, it is responding to an external stimulus. Which of these describes a response to an internal stimulus?",51,B
52,Juvenile diabetes is a disease caused by the body's inability to create insulin. The body's white blood cells attack the pancreatic cells that produce insulin. This type of disease is known as,52,B
53,Which is an example of a chemical change?,53,A
54,Genes code for specifically structured,54,A
55,Energy from the Sun reaches Earth by,55,C
56,Plants transform energy when they make their own food. Which type of energy is used by plants for making food?,56,C
57,"When a switch to a ceiling fan is turned on, electrical energy is being transformed into",57,A
58,Which of the following is an example of matter changing state?,58,C
59,"Since green plants make their own food, they are called",59,B
60,"Which of these is most likely caused by the action of water, wind, and animals?",60,B
61,"When the pesticide DDT was first used, it killed nearly every mosquito it touched. Within a few years, however, many mosquitoes became resistant to DDT and survived. What enabled this to happen?",61,C
62,Earth's rotation (turning on its axis) causes,62,D
63,"When bedrock in Massachusetts is examined, it often appears scraped and polished. Which of the following most likely caused the bedrock to appear scraped and polished?",63,C
64,Which tool is used to measure the diameter of a dime?,64,B
65,Which is a distinction between an epidemic and a pandemic?,65,B
66,"Which animals live part of their lives in water and part on land, and go through metamorphosis?",66,B
67,A wind turbine primarily uses which type of energy?,67,B
68,"When air is heated, it will most likely",68,B
69,Which statement best explains Earth's day and night cycle?,69,D
70,In the human body the digestion of proteins takes place primarily in which two organs?,70,D
71,Why are most fossils found in sedimentary rocks?,71,A
72,How does a student best avoid becoming dehydrated during a field investigation on a hot day?,72,D
73,The sediments found in a riverbed are most likely a result of which action on nearby rock?,73,A
74,A snail's shell provides the snail with,74,B
75,"In the morning, students observed puddles of water all over the playground. What would best explain why the playground was dry in the afternoon?",75,A
76,Why do doctors suggest that people get a flu vaccine each year?,76,C
77,In which environment is white fur color an advantage for survival?,77,A
78,An atom will always have,78,A
79,"When a guitar string is plucked, sound is produced by",79,A
80,The average temperature of the surface of Earth has increased approximately 1°C in the past century. Which reason best explains this increase in temperature?,80,B
81,What is one factor that contributes to seasons occurring in New York State?,81,C
82,Which inventor had the greatest impact on the development of artificial light?,82,D
83,Which best explains why some reptiles and amphibians lay an abundance of eggs?,83,B
84,Where are proteins synthesized?,84,D
85,Who was the first person to base a system of classification on organisms having similar structures?,85,A
86,"Stem cells are cells that can differentiate into many different kinds of cells. Scientists have discovered that the environment supporting the cells influences stem-cell differentiation. For example, stem cells grown on strong, flexible surfaces became muscle cells. What most likely happened to stem cells grown on a hard, rigid surface?",86,A
87,A homeowner wants to use a renewable resource to heat the home. Which resource would be the best to use?,87,C
88,The presence of which of the following geological features provides the best evidence that glaciers once covered an area?,88,D
89,The gravitational force between two objects depends on the distance between the objects and each object's,89,C
90,"A gastroenterologist is a doctor who treats problems of the esophagus, stomach, and intestines. Which organ system is cared for by this type of doctor?",90,A
91,"If you wanted to be able to look at the stars, the planets, and the Moon more closely, what should you use?",91,B
92,Which type of energy in gasoline is transformed into mechanical energy in a motorcycle engine?,92,D
93,Elements in the same column of the Periodic Table of the Elements all,93,A
94,"In the human body, what part of the central nervous system connects with other nerves outside of the central nervous system?",94,B
95,Cumulonimbus clouds often form along cold fronts. Which type of weather is most likely to occur along a cold front?,95,4
96,A student is playing with a small toy boat on a pond. The student throws a rock in the pond. This creates waves that move the boat toward the shore. The boat moves toward the shore because the waves transfer,96,A
97,What is the most reasonable explanation for why a toy car rolls farther on a wood floor than on a thick carpet?,97,D
98,"Otto pushed a toy car across a floor. The car traveled fast across the wood, but it slowed to a stop on the carpet. Which best explains what happened when the car reached the carpet?",98,C
99,How would a drought most likely affect the plants of a grassy plain?,99,A
100,What is the basic unit of life?,100,C
101,What will most likely result when the jet stream moves south of North Carolina?,101,B
102,All the ponds in an area dried up during a drought. The population of which of the following animals that live in the area is most affected by the drought?,102,C
103,A researcher observes that an organism placed in a glass container filled with water moves away when a penlight is focused on the container. The researcher concludes that the organism is light sensitive. Which other explanation for the organism's response to the light is most possible?,103,D
104,How do the waxy stem covering and needle-shaped leaves improve the ability of a cactus to survive in the desert?,104,D
105,"It rained on a hot summer afternoon and a puddle formed. After several hours, the puddle was gone. Which two processes made the puddle form and then disappear?",105,C
106,"Which resource, abundant in Nevada, is nonrenewable?",106,C
107,Copper is used in house wiring because it is,107,C
108,Which of the following is one reason that quartz is classified as a mineral?,108,C
109,A modern theory of the origin of the universe proposes that the first atoms formed were primarily atoms of which element?,109,C
110,What is the relationship between tissues and organs?,110,D
111,How does a human body get energy?,111,C
112,"Which of these is most likely caused by the action of water, wind, and animals?",112,D
113,"Salt and pepper are placed together in a container. When the container is shaken, the salt and pepper become a",113,D
114,What do producers need to make food?,114,C
115,In what section of Earth do earthquakes happen?,115,A
116,Which organ removes cell waste from the blood?,116,A
117,"In the lab, students are working with substances that could cause burns. Which of these safety precautions is most important to follow?",117,A
118,Which statement describes all matter?,118,C
119,Which organ is most responsible for oxygen entering the blood stream?,119,A
120,Which characteristic of a volvox colony makes it more like a multicellular organism than a simple cluster of unicellular organisms?,120,D
121,Corals are animals that live in tropical oceans. Fossils of corals are found in Ohio. What does the presence of coral fossils suggest about how the environment of Ohio has changed over time?,121,C
122,"Oil, coal, and natural gas are fossil fuels formed under what conditions?",122,D
123,Earth is made of different layers that have varying characteristics. Which is the thickest layer?,123,A
124,"A group of students investigated the effect of water temperature on the gill movements of goldfish. The students tested water temperatures from 20°C to 10°C at 2-degree intervals. The data showed that as water temperature decreased, the average number of gill movements per minute by the goldfish also decreased. Which type of display is BEST used to show this relationship?",124,D
125,"In a city, the daily high and low 16 temperatures for a month are best represented by which of the following?",125,C
126,"Near Earth's equator, water generally exists naturally in the liquid and gas states. In which other part of Earth is water usually found naturally in only two states?",126,A
127,"When the pesticide DDT was first used, it killed nearly every mosquito it touched. Within a few years, however, many mosquitoes became resistant to DDT and survived. What enabled this to happen?",127,E
128,What is the repeating monomer of a DNA molecule?,128,C
129,Why does tapping a fork against a water glass produce a sound?,129,D
130,"When sodium hydroxide reacts with a copper nitrate solution, the reaction vessel needs to be kept on ice to slow down the reaction. What best describes this reaction?",130,C
131,Decomposers are organisms that eat and break down dead plant and animal material. Which organism is a decomposer?,131,B
132,"When a transverse wave passes from right to left through a medium, what happens to the particles of the medium?",132,B
133,Decomposers are organisms that obtain their food from dead organisms. Which of these would be classified as decomposers?,133,B
134,A scientist plans to investigate the nervous system of sea slugs. What should the scientist do first?,134,C
135,A recent study concluded that about 90% of all large predatory fish such as tuna have disappeared from the world's oceans in the past 50 years. Which of these is most likely the direct cause of this loss?,135,B
136,How is the structure of an atom best described?,136,2
137,Alicia has lots of old bicycle parts. She wants to build something new with the parts. What is the first thing Alicia should do?,137,B
138,What is involved in creating genetically modified bacteria?,138,C
139,Which of these would help to prevent infections from occurring in small cuts and scrapes?,139,A
140,"Pesticides and fertilizers can help farmers to produce more crops. However, overuse of these chemicals can result in",140,B
141,"A layer of solid brittle rock comprises the outer 100 kilometers of Earth. This layer, which contains both the crust and the upper mantle, is called the",141,B
142,"The orbit of Earth is almost circular and has a period of about 365 days. Compared to the orbit of Earth, which of these objects usually have highly elliptical orbits and can have periods of over 1000 years?",142,B
143,Which could be a possible way to prevent wildlife species from becoming endangered?,143,B
144,Vascular plants have tissue called xylem. Which of these is transported by the xylem?,144,B
145,Which of these cell structures converts nutrients to energy for cell functions?,145,C
146,Cells that conduct messages are known as,146,1
147,The most effective way to show a change happening over time is to display your results using a,147,D
148,Which of the following best represents one particular stage in a life cycle?,148,4
149,What would a warm air mass over the ocean most likely cause?,149,C
150,The Sun appears larger than other stars because of its,150,D
151,Which characteristic is found ONLY in mammals?,151,D
152,"Stretching is considered an important step before engaging in sports. In an investigation to see whether stretching before physical exertion reduces sports injuries, who would the control group most likely be?",152,D
153,Which tool is most responsible for preventing future pandemics of smallpox?,153,A
154,Which is an example of a chemical reaction?,154,A
155,The brown fur of the arctic hare turns white in winter. How does this color change most likely help the arctic hare?,155,B
156,Yumiko gave some reasons why kettles and kitchen pans are often made of copper. Which reason is correct?,156,B
157,Which statement explains why light from the Sun can warm up water in a glass?,157,C
158,"In New York State, the shortest period of daylight occurs during which month?",158,D
159,Which group of organisms would all be found living in a tropical rain forest?,159,A
160,There is a thunderstorm close to your house. The windows rattle at the same time that you hear the thunder. What causes the windows to rattle?,160,D
161,What is the main reason we can see the Moon?,161,D
162,Scientists invented a liquid that removes grease and keeps the skin soft. How could this discovery most likely be used?,162,B
163,Temperatures below freezing are expected overnight. What might be done to protect plants growing outside?,163,C
164,Which action most likely causes large rocks to become smaller pieces of rock?,164,C
165,"When a soccer player kicks a ball, which two systems work directly with the muscular system?",165,C
166,What happens to water molecules during the boiling process?,166,A
167,Which of these is the main function of a cell wall?,167,D
168,A loaf of bread is baking in a pan in a 350° F oven. What would cause a burn to a hand the quickest because of its low specific heat?,168,3
169,The primary function of insulin in our bodies is to,169,D
170,How hot is it on the surface of the Sun?,170,C
171,Which characteristic is an example of learned behavior?,171,D
172,Joel made some measurements and recorded this data: Sample 1 - 45 mL Sample 2 - 15 mL Sample 3 - 30 mL Sample 4 - 20 mL Which of these tools would most likely have been used to obtain these measurements?,172,C
173,Which type of energy conversion occurs in a flashlight?,173,B
174,The sediments found in a riverbed are most likely a result of which action on nearby rock?,174,2
175,What is determined by the speed that Earth rotates on its axis?,175,3
176,Which characteristic of a cell membrane allows it to control materials entering and leaving a cell?,176,A
177,Which equipment will best separate a mixture of iron filings and black pepper?,177,C
178,Which of the following is an example of a physical change but not a chemical change?,178,C
179,A jet plane is moving at a constant velocity on a flat surface. Which forces act against the forward motion of the plane?,179,C
180,"A layer of solid brittle rock comprises the outer 100 kilometers of Earth. This layer, which contains both the crust and the upper mantle, is called the",180,A
181,Which of the following helps the leaves break down after they have fallen off the tree?,181,B
182,A shoe manufacturer randomly selects 10% of the production from each shift. Each of these shoes is checked to ensure that it is correctly made. What is this process called?,182,E
183,The Water Quality Act of 1987 required the development of standards that would prevent toxic pollutants from reaching dangerous levels in bodies of water. This act affected the amounts of toxic chemicals that could be discharged into bodies of water. Which of the following would have been most regulated by this act?,183,D
184,Which of the following is a cause of the ocean levels periodically rising and then falling?,184,B
185,Which organism belongs in the kingdom Protista?,185,B
186,Which sense is used to tell if there is sugar in a glass of tea?,186,C
187,The cell cycle describes the processes that take place as a cell,187,D
188,Which of the following helped lead to the invention of personal computers?,188,C
189,The presence of which of the following geological features provides the best evidence that glaciers once covered an area?,189,1
190,Which of these elements is likely to be found in an organic compound?,190,D
191,"Some plants grow only in specific places in the world. Some cacti, for example, grow only in deserts. Which of the following is most important in determining where a plant can grow and survive?",191,C
192,A student is designing a model of the solar system and writing a report. She is trying to be as accurate as possible. Which statement should she include in her report?,192,D
193,Erin placed her shamrock plant in a dark corner. Soon she saw that the leaves had tilted toward her window. What did the plant need most from the window?,193,A
194,Students on two different school campuses are comparing the growth rate of grass three weeks after fertilizer has been applied. The same fertilizer and the same amount of water are used on both campuses. Which additional variable is most important to control when the results of the two investigations are compared?,194,A
195,Students are studying the classifications of stars and they learned that the majority of stars are similar to the Sun. What can the students conclude knowing that most of the stars in the galaxy are like the Sun?,195,D
196,What is the smallest structural and functional unit of the nervous system?,196,D
197,Which of these items contains only a solution?,197,D
198,Living cells synthesize long chains of amino acids called proteins. Which substance provides the information needed to correctly sequence the amino acids during protein synthesis?,198,C
199,Fish can live in lakes that are frozen because liquid water remains below the ice at the surface. Which of these describes a property of water that allows some liquid water to remain in frozen lakes?,199,C
200,Increased nutrient levels in lakes can cause ecological changes that result in the death of many fish. At what point in the hydrological cycle are most nutrients deposited into lakes?,200,D
201,A student wants to find the relationship between the diameter of several plastic disks and the circumference of each disk. Which of these types of graphs should be constructed to determine this relationship?,201,B
202,Which of these lists has only products that come from plants?,202,A
203,"When a volcano erupts, dust and ash are blown into the atmosphere. The eruption directly reduces the transfer of energy from",203,A
204,Corals are animals that live in tropical oceans. Fossils of corals are found in Ohio. What does the presence of coral fossils suggest about how the environment of Ohio has changed over time?,204,A
205,"During an experiment, a student reports that a liquid turned green when mixed with another liquid. This is an example of",205,D
206,"When sunlight shines on a plant, its leaves",206,A
207,Barry collected four different rocks. The rock with the GREATEST mass will feel the ___.,207,B
208,What is true of mutualistic relationships among organisms?,208,C
209,Which of the following identifies the primary function of a radio station tower in a communication system?,209,D
210,Which two body systems are directly involved in movement?,210,D
211,Which best describes the orbit of the Moon around Earth?,211,D
212,"Pedro shook a can of soda. When the soda was opened, foam and soda burst from the can. Which statement best explains what happened?",212,B
213,"A car has a small gasoline engine combined with a battery-powered electric motor. When the car stops at a red light, the gasoline engine stops running and the electric motor begins working. How does this type of car most likely benefit people?",213,A
214,All of the processes listed below cause changes in Earth's surface. Which of the following is the slowest to change Earth's surface?,214,A
215,"A mosquito is a type of flying insect that lays eggs in puddles or small pools of water. When larvae develop from eggs, the larvae come to the surface to get air through special breathing tubes. After one to two weeks, the larvae become pupae and then turn into adults. How would a dry summer affect a mosquito population?",215,D
216,Anthony and Zach want to know how the temperature of the air affects the temperature of lake water. Which type of tool should they use to measure the temperatures?,216,D
217,Which process causes the leaves of a plant to become larger?,217,A
218,"Near Earth's equator, water generally exists naturally in the liquid and gas states. In which other part of Earth is water usually found naturally in only two states?",218,C
219,Which best describes all unicellular organisms?,219,A
220,In which environment is white fur color an advantage for survival?,220,B
221,Which will most likely happen to a solid substance that is heated?,221,B
222,"If Lisa wants to experiment with bean plants, which of these is the best example of a hypothesis?",222,A
223,What is a large buildup of moving ice and snow called?,223,C
224,What takes place as a light wave enters a denser medium?,224,A
225,Burt used a spoon to stir soup that was cooking on his stove. Which spoon will stay the coolest while he stirs?,225,A
226,Why are most fossils found in sedimentary rocks?,226,D
227,High-altitude cirrus clouds are primarily formed from which substance?,227,A
228,"At night, the Moon is the brightest object in the sky. Where does the Moon's light come from?",228,D
229,Which of the following best describes the purpose of cellular respiration?,229,C
230,Which is a process that converts sunlight energy into a compound that stores chemical energy?,230,B
231,In which process is nitrogen from the air put into a form that plants can use?,231,B
232,Which is the most basic unit of living things?,232,A
233,Which human body system attacks viruses and bacteria once they have invaded the body?,233,B
234,Which pair together could cause a rainbow?,234,B
235,Which statement describes the location of our Sun in the universe?,235,B
236,"Plumes of water vapor have been observed rising from the southern polar region of Enceladus, one of the moons of Saturn. A team of scientists proposed an explanation for the plumes and developed a model. They also published calculations based on their model. These calculations would most likely be used for which purpose in future research?",236,A
237,It is necessary to add a day to the calendar every four years because,237,A
238,Which of these dissolve in water?,238,B
239,A student uses a hand lens to observe which of these objects?,239,A
240,The number of fish in a lake suddenly increases. How will the increase most likely affect the lake?,240,D
241,"A manufacturing industry has asked to relocate its plant to your town. From an environmental perspective, which question is least important to ask before deciding whether the industry may move to your town?",241,C
242,Amanda is learning about different adaptations of animals. Which is an example of a behavioral adaptation?,242,B
243,Which of the following is an abiotic factor that can influence the quantity of fish a pond can support?,243,B
244,What process forms an image in a mirror?,244,3
245,The main source of food for a coyote population in one area is mice. Which is most likely to happen to these coyotes if a new predator begins eating the mice?,245,D
246,Which scientist formulated rules that describe the observable relationships of plant traits to the traits of the ancestor plants?,246,C
247,Which pair of items will repel each other?,247,D
248,What causes nighttime and daytime on Earth?,248,A
249,"Salt concentration, water temperature, plankton, and the whale shark might all be used in a description of an ocean",249,C
250,"In animal skin tissue, cell division is responsible for",250,C
251,Which is a quick process that can form new land near an ocean?,251,4
252,"On the periodic table, the elements in group 18 (8A) (helium, neon, argon, etc.) are grouped together because",252,D
253,"Nuclear fusion is the source of energy for stars. Besides hydrogen, which other element is most likely also common in stars?",253,3
254,Timber companies can best manage the number of trees in forests by,254,D
255,An artificial pacemaker is a device that regulates the beat of the heart by an electrical stimulus. Some early pacemakers were powered by batteries and were worn externally with wires passing through the skin to the surface of the heart. Modern pacemakers are now much smaller and are implanted surgically. Which most likely has increased the lifespan and effectiveness of artificial pacemakers?,255,3
256,A light-year is a measure of,256,A
257,"Wolves kill many elk every year and often attack old, sick, and injured members of a herd. Which of the following best describes the role of the wolves in the wolf-elk relationship?",257,C
258,Vascular plants have tissue called xylem. Which of these is transported by the xylem?,258,D
259,Electricity to play your radio can be made using renewable or nonrenewable resources. Which of the following resources are renewable?,259,C
260,Coal was made from the remains of which ancient ecosystem?,260,D
261,In which process is nitrogen from the air put into a form that plants can use?,261,B
262,The Mariana Trench is the deepest ocean trench on Earth. This trench occurs at a plate boundary where,262,D
263,Before it rains water must collect in,263,D
264,Some plant cells are coated in a waxy layer that prevents water loss. This specialization is found in which plant cells?,264,B
265,What most likely happens to soil when crops are not rotated from year to year?,265,C
266,Which part of the electromagnetic spectrum can humans sense without using equipment or technology?,266,D
267,Which of the following elements is best able to combine with itself and hydrogen [H] to form large molecules?,267,C
268,"In a lab investigation, a student notes that two metal blocks have the same mass. Based on this observation, if the two blocks were put on opposite sides of a balance, they would best represent",268,D
269,An artificial pacemaker is a device that regulates the beat of the heart by an electrical stimulus. Some early pacemakers were powered by batteries and were worn externally with wires passing through the skin to the surface of the heart. Modern pacemakers are now much smaller and are implanted surgically. Which most likely has increased the lifespan and effectiveness of artificial pacemakers?,269,C
270,"Which type of rock is formed from limestone that has been compacted, heated, and recrystallized?",270,C
271,Which terms can be used to describe the properties of both a wave and a particle of light?,271,D
272,Which tool would be best to use for counting the number of legs on an ant?,272,A
273,Which of these is a nonliving part of a forest?,273,C
274,What happens when water flows over a rock for a long period of time?,274,A
275,"When a person chews, saliva from the mouth mixes with starches in food. These starches begin to turn into sugars. Changing starches into sugars is best described as",275,A
276,Which animals are most likely to carry the seeds found in berries from the parent plant to another area?,276,D
277,Why do mountain climbers at high elevations use oxygen tanks to help them breathe?,277,C
278,The features below are all present on Earth. Which feature could also be found on the Moon?,278,A
279,"When a tree suffers from a decreased ability to transport materials within the phloem, what is directly impacted?",279,D
280,"When a soccer player kicks a ball, which two systems work directly with the muscular system?",280,D
281,"Because sulfur cannot be decomposed by simple chemical methods into two or more different substances, it is classified as",281,D
282,Which part of an atom is involved in chemical reactions?,282,A
283,What is the outermost structure in a plant cell?,283,A
284,Which statement best describes the energy transformations that occur when a candle burns?,284,B
285,If soil is permeable,285,B
286,"When a volcano erupts, dust and ash are blown into the atmosphere. The eruption directly reduces the transfer of energy from",286,A
287,A student reaches one hand into a bag filled with smooth objects. The student feels the objects but does not look into the bag. Which property of the objects can the student most likely identify?,287,C
288,"According to Darwin's theory of evolution, the variations among finches that he observed in the Galapagos Islands resulted from",288,C
289,A teacher demonstrates a chemical reaction. A student observes that the test tube in which the reaction occurs becomes warm. What is the source of the thermal energy generated by the reaction?,289,C
290,Which of the following organisms produces energy from sunlight?,290,D
291,Which statement is an opinion?,291,C
292,Which structure surrounds and protects an animal cell?,292,D
293,Foam weather stripping is often placed in the frames of doors and windows in a home. What is the purpose of this weather stripping?,293,B
294,Which of the following is an example of heat transfer by conduction?,294,B
295,An abiotic factor that most influences the organisms living in a salt marsh is,295,A
296,A patient visits the doctor for a checkup and is diagnosed with skin cancer. Which of the following is the most likely cause of this disease?,296,C
297,"In order for boulders to become sediments, the boulders must first be",297,D
298,Which part of a strawberry plant absorbs most of the water needed by the plant?,298,A
299,"A student heated a pan of soup on a stove. While stirring the soup with a metal spoon, the student noticed the spoon became very warm. What is the most likely reason the spoon became warm?",299,A
300,Living things depend on energy from,300,B
301,"Two pool (billiard) balls collide, causing each to move in a different direction. Eventually, both come to a stop. The most important factor in causing them to stop is",301,C
302,Which unit can be used to describe an object's length?,302,A
303,Variation in which property between water at different temperatures contributes most to the formation of horizontal ocean layers having distinct temperatures?,303,C
304,Which is an example of a chemical change?,304,B
305,"In order for a glider to fly, its weight must be opposed by",305,B
306,A student observes a glowing band across the night sky. This glowing band is most likely,306,D
307,Approximately how many times will Earth rotate during one revolution around the Sun?,307,B
308,What is the main function of scales on a fish?,308,C
309,How has the invention of the personal computer helped people the most?,309,C
310,Joanne wants to investigate factors that affect different patterns of the flight of bees. Which step in the scientific method must she follow before forming a hypothesis?,310,B
311,A ball is thrown straight up. Which statement best describes the motion of the ball while the ball is at the maximum height?,311,C
312,"A student is working on a science project display for the school science fair. To best communicate why her conclusions are valid, what should be included on the display?",312,D
313,"Earthworms live underground in the soil. As they move through the soil, they create tunnels. The tunnels help improve the soil. Plants grow better in soil that has earthworms. Which statement explains how earthworm tunnels help plants?",313,A
314,Where is most of Earth's water located?,314,C
315,Which of these provides the best evidence that the environment of Earth has changed over millions of years?,315,A
316,Which of these describes a location where minerals are most likely to form?,316,A
317,What keeps Mars in orbit around the Sun?,317,A
318,A student is using hydrochloric acid in an investigation. Which piece of safety equipment is most important during this investigation?,318,C
319,Which animals are most likely to carry the seeds found in berries from the parent plant to another area?,319,C
320,Frogs lay eggs that develop into tadpoles and then into adult frogs. This sequence of changes is an example of how living things,320,A
321,"In eukaryotic organisms, microtubules give cells structure, and microfilaments help the cell contract and move. Together, they combine to perform functions similar to what two human body systems?",321,D
322,Which of the following causes a chemical change?,322,C
323,"Which of these are broken down during chemical, but not physical, changes?",323,D
324,A scientist was examining a large boulder that was covered with lichens (a combination of fungi and algae). He chipped a piece of the rock and placed it under a microscope. He observed that the surface of the rock was breaking down underneath the lichen. Which was the scientist most likely observing?,324,D
325,Which factor will most likely cause a person to develop a fever?,325,D
326,"Air in the atmosphere is heated unevenly by the sun, causing",326,A
327,"When animals use energy, what is always produced?",327,A
328,Why does tapping a fork against a water glass produce a sound?,328,D
329,"To compare the hardness of different minerals, it would be BEST to find",329,B
330,Which adaptation allows a walrus to stay warm in cold water?,330,A
331,Why are some rocks smoother and rounder than others?,331,A
332,Which part of a strawberry plant absorbs most of the water needed by the plant?,332,B
333,Which of these cell structures converts nutrients to energy for cell functions?,333,B
334,Overuse of soil for farming causes local disruptions of several Earth subsystems. Which of these is a part of the biogeochemical cycle that experiences the most severe local disruption?,334,A
335,Investigations were performed to test several methods of keeping petals from falling off flowers that had been cut. Which is the most likely reason for this investigation?,335,A
336,"An area received six inches of snow during the winter. Before the snow can continue through the water cycle as ground water or runoff, it must first ___.",336,A
337,Meteorologists categorize hurricanes based on the Saffir-Simpson scale. The scale measures the intensity and destructive potential of hurricanes. Which factor has the most significant effect on the strength of a hurricane?,337,C
338,Growing thicker fur in the winter helps some animals to,338,C
339,Signs in many stores and restaurants warn that microwaves are in use. What is the main reason for this warning?,339,D
340,"If the number of trees significantly decreases, the atmosphere's level of which gas might significantly increase?",340,D
341,Male barn swallow birds with symmetrically-shaped wings find mates more quickly than males with asymmetrical wing shapes. Which statement best explains the significance of symmetry in the barn swallow population?,341,B
342,Which two factors determine the gravitational attraction between two objects?,342,B
343,Which gravitational pull has the greatest influence on Earth's tides?,343,C
344,Which describes a specific characteristic necessary for survival in the desert?,344,B
345,Which terms can be used to describe the properties of both a wave and a particle of light?,345,B
346,Which of these describes a small range in the electromagnetic spectrum?,346,D
347,Living organisms require energy for biological processes. Chemical energy in a plant cell is,347,C
348,Which is the best plan to make the fossil fuel supply last longer?,348,D
349,A student has two solid samples of the same substance. Which property do the substances most likely have in common?,349,B
350,Rocks in warm and humid environments can be weathered faster than rocks in other environments. Which is most likely the next step in the rock cycle for weathered rocks?,350,B
351,Plants need a source of energy in order to perform photosynthesis. From which source do plants receive the energy needed to perform photosynthesis?,351,D
352,"An agricultural scientist, George Washington Carver, is most famous for his research on",352,D
353,The Andes Mountains in South America formed when an oceanic plate shifted beneath a continental plate. Which other landforms are usually associated with this type of plate boundary?,353,C
354,Which of the following forms of energy can travel by vibrating particles of air?,354,D
355,A shoe manufacturer randomly selects 10% of the production from each shift. Each of these shoes is checked to ensure that it is correctly made. What is this process called?,355,A
356,"A house is built in a desert, where there is no electricity and very little wind. Which action could lead to operating the electrical appliances in the house that would cause the least amount of environmental pollution?",356,C
357,A large quantity of heavy rain falling in a short time period will most likely,357,B
358,"A student sets a block at the top of a wooden ramp. The student pushes the block. As the block slides down the ramp, it slows down and then comes to a stop. What force causes the block to slow down?",358,B
359,Which of the following processes is responsible for changing liquid water into water vapor?,359,C
